1:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:33:09 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.219,0.225,0.0414622,
0.22,0.225,0.0383339,
0.221,0.225,0.0355829,
0.222,0.225,0.0331379,
0.223,0.225,0.0309456,
0.224,0.225,0.0289648,
0.225,0.225,0.0271639,
0.226,0.225,0.0255177,
0.227,0.225,0.0240061,
0.228,0.225,0.0226127,
0.229,0.225,0.0213239,
0.23,0.225,0.0201284,
0.231,0.225,0.0190166,
0.232,0.225,0.0179803,
0.233,0.225,0.0170124,
0.234,0.225,0.0161069,
0.235,0.225,0.0152584,
0.236,0.225,0.0144622,
0.237,0.225,0.0137141,
0.238,0.225,0.0130104,
0.239,0.225,0.0123478,
0.24,0.225,0.0117232,
0.241,0.225,0.0111341,
0.242,0.225,0.0105779,
0.243,0.225,0.0100524,
0.244,0.225,0.00955554,
0.245,0.225,0.00908557,
0.246,0.225,0.00864072,
0.247,0.225,0.00821944,
0.248,0.225,0.00782028,
0.249,0.225,0.00744191,
0.25,0.225,0.00708309,
0.251,0.225,0.00674269,
0.252,0.225,0.00641963,
0.253,0.225,0.00611294,
0.254,0.225,0.00582168,
0.255,0.225,0.005545,
0.256,0.225,0.00528209,
0.257,0.225,0.00503222,
0.258,0.225,0.00479465,
0.259,0.225,0.00456875,
0.26,0.225,0.00435389,
0.261,0.225,0.0041495,
0.262,0.225,0.00395501,
0.263,0.225,0.00376993,
0.264,0.225,0.00359375,
0.265,0.225,0.00342605,
0.266,0.225,0.00326636,
0.267,0.225,0.00311431,
0.268,0.225,0.00296949,
0.269,0.225,0.00283155,
0.27,0.225,0.00270014,
0.271,0.225,0.00257495,
0.272,0.225,0.00245566,
0.273,0.225,0.002342,
0.274,0.225,0.00223367,
0.275,0.225,0.00213042,
0.276,0.225,0.00203201,
0.277,0.225,0.0019382,
0.278,0.225,0.00184877,
0.279,0.225,0.00176351,
0.28,0.225,0.00168221,
0.281,0.225,0.0016047,
0.282,0.225,0.00153079,
0.283,0.225,0.00146031,
0.284,0.225,0.00139309,
0.285,0.225,0.00132899,
0.286,0.225,0.00126786,
0.287,0.225,0.00120955,
0.288,0.225,0.00115393,
0.289,0.225,0.00110088,
0.29,0.225,0.00105028,
0.291,0.225,0.00100201,
0.292,0.225,0.000955965,
0.293,0.225,0.000912041,
0.294,0.225,0.000870137,
0.295,0.225,0.000830163,
0.296,0.225,0.000792026,
0.297,0.225,0.000755643,
0.298,0.225,0.00072093,
0.299,0.225,0.000687814,
0.3,0.225,0.000656218,
0.301,0.225,0.000626074,
0.302,0.225,0.000597312,
0.303,0.225,0.000569872,
0.304,0.225,0.000543691,
0.305,0.225,0.000518711,
0.306,0.225,0.000494877,
0.307,0.225,0.000472137,
0.308,0.225,0.00045044,
0.309,0.225,0.000429739,
0.31,0.225,0.000409987,
0.311,0.225,0.000391141,
0.312,0.225,0.000373159,
0.313,0.225,0.000356003,
0.314,0.225,0.000339634,
0.315,0.225,0.000324016,
0.316,0.225,0.000309114,
0.317,0.225,0.000294896,
0.318,0.225,0.00028133,
0.319,0.225,0.000268387,
0.32,0.225,0.000256038,
0.321,0.225,0.000244256,
0.322,0.225,0.000233014,
0.323,0.225,0.00022229,
0.324,0.225,0.000212057,
0.325,0.225,0.000202294,
0.326,0.225,0.00019298,
0.327,0.225,0.000184093,
0.328,0.225,0.000175615,
0.329,0.225,0.000167527,
0.33,0.225,0.00015981,
0.331,0.225,0.000152448,
0.332,0.225,0.000145424,
0.333,0.225,0.000138723,
0.334,0.225,0.000132331,
0.335,0.225,0.000126232,
0.336,0.225,0.000120414,
0.337,0.225,0.000114864,
0.338,0.225,0.000109569,
0.339,0.225,0.000104518,
0.34,0.225,9.9699e-05,
0.341,0.225,9.51023e-05,
0.342,0.225,9.0717e-05,
0.343,0.225,8.65339e-05,
0.344,0.225,8.25433e-05,
0.345,0.225,7.87367e-05,
0.346,0.225,7.51053e-05,
0.347,0.225,7.16414e-05,
0.348,0.225,6.8337e-05,
0.349,0.225,6.51851e-05,
0.35,0.225,6.21783e-05,
0.351,0.225,5.93102e-05,
0.352,0.225,5.65743e-05,
0.353,0.225,5.39647e-05,
0.354,0.225,5.14753e-05,
0.355,0.225,4.91009e-05,
0.356,0.225,4.68358e-05,
