4:*******************************************,
DC Transfer Curves,
Mon Nov 14 19:36:06 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.22,0.225,0.29148,
0.221,0.225,0.278194,
0.222,0.225,0.264846,
0.223,0.225,0.25146,
0.224,0.225,0.238057,
0.225,0.225,0.224654,
0.226,0.225,0.211265,
0.227,0.225,0.197906,
0.228,0.225,0.184593,
0.229,0.225,0.171349,
0.23,0.225,0.1582,
0.231,0.225,0.145187,
0.232,0.225,0.132366,
0.233,0.225,0.119829,
0.234,0.225,0.107712,
0.235,0.225,0.0962245,
0.236,0.225,0.0856371,
0.237,0.225,0.076226,
0.238,0.225,0.0681458,
0.239,0.225,0.0613623,
0.24,0.225,0.0556947,
0.241,0.225,0.0509196,
0.242,0.225,0.0468409,
0.243,0.225,0.0433071,
0.244,0.225,0.0402058,
0.245,0.225,0.0374535,
0.246,0.225,0.0349879,
0.247,0.225,0.0327618,
0.248,0.225,0.0307385,
0.249,0.225,0.0288893,
0.25,0.225,0.0271911,
0.251,0.225,0.0256253,
0.252,0.225,0.0241767,
0.253,0.225,0.0228323,
0.254,0.225,0.0215814,
0.255,0.225,0.0204149,
0.256,0.225,0.0193249,
0.257,0.225,0.0183044,
0.258,0.225,0.0173476,
0.259,0.225,0.0164493,
0.26,0.225,0.0156046,
0.261,0.225,0.0148097,
0.262,0.225,0.0140606,
0.263,0.225,0.0133542,
0.264,0.225,0.0126873,
0.265,0.225,0.0120574,
0.266,0.225,0.0114619,
0.267,0.225,0.0108986,
0.268,0.225,0.0103654,
0.269,0.225,0.00986049,
0.27,0.225,0.00938201,
0.271,0.225,0.00892844,
0.272,0.225,0.00849826,
0.273,0.225,0.00809011,
0.274,0.225,0.00770272,
0.275,0.225,0.00733491,
0.276,0.225,0.00698557,
0.277,0.225,0.00665367,
0.278,0.225,0.00633826,
0.279,0.225,0.00603844,
0.28,0.225,0.00575336,
0.281,0.225,0.00548224,
0.282,0.225,0.00522435,
0.283,0.225,0.00497899,
0.284,0.225,0.0047455,
0.285,0.225,0.00452328,
0.286,0.225,0.00431174,
0.287,0.225,0.00411034,
0.288,0.225,0.00391857,
0.289,0.225,0.00373595,
0.29,0.225,0.00356201,
0.291,0.225,0.00339633,
0.292,0.225,0.00323848,
0.293,0.225,0.0030881,
0.294,0.225,0.00294481,
0.295,0.225,0.00280827,
0.296,0.225,0.00267814,
0.297,0.225,0.00255412,
0.298,0.225,0.00243591,
0.299,0.225,0.00232323,
0.3,0.225,0.00221581,
0.301,0.225,0.00211341,
0.302,0.225,0.00201578,
0.303,0.225,0.00192269,
0.304,0.225,0.00183394,
0.305,0.225,0.00174931,
0.306,0.225,0.00166861,
0.307,0.225,0.00159166,
0.308,0.225,0.00151827,
0.309,0.225,0.00144829,
0.31,0.225,0.00138154,
0.311,0.225,0.00131789,
0.312,0.225,0.00125717,
0.313,0.225,0.00119927,
0.314,0.225,0.00114404,
0.315,0.225,0.00109136,
0.316,0.225,0.00104111,
0.317,0.225,0.000993182,
0.318,0.225,0.000947464,
0.319,0.225,0.000903856,
0.32,0.225,0.000862257,
0.321,0.225,0.000822576,
0.322,0.225,0.000784724,
0.323,0.225,0.000748616,
0.324,0.225,0.000714171,
0.325,0.225,0.000681313,
0.326,0.225,0.000649968,
0.327,0.225,0.000620066,
0.328,0.225,0.000591541,
0.329,0.225,0.000564329,
0.33,0.225,0.00053837,
0.331,0.225,0.000513605,
0.332,0.225,0.00048998,
0.333,0.225,0.000467443,
0.334,0.225,0.000445943,
0.335,0.225,0.000425432,
0.336,0.225,0.000405865,
0.337,0.225,0.000387198,
0.338,0.225,0.00036939,
0.339,0.225,0.000352402,
0.34,0.225,0.000336195,
0.341,0.225,0.000320734,
0.342,0.225,0.000305984,
0.343,0.225,0.000291914,
0.344,0.225,0.00027849,
0.345,0.225,0.000265685,
0.346,0.225,0.000253468,
0.347,0.225,0.000241814,
0.348,0.225,0.000230695,
0.349,0.225,0.000220089,
0.35,0.225,0.000209971,
0.351,0.225,0.000200318,
0.352,0.225,0.000191109,
0.353,0.225,0.000182324,
0.354,0.225,0.000173944,
0.355,0.225,0.000165949,
0.356,0.225,0.000158322,
0.357,0.225,0.000151046,
0.358,0.225,0.000144105,
0.359,0.225,0.000137483,
0.36,0.225,0.000131166,
0.361,0.225,0.00012514,
0.362,0.225,0.000119391,
0.363,0.225,0.000113907,
0.364,0.225,0.000108675,
0.365,0.225,0.000103684,
0.366,0.225,9.89222e-05,
0.367,0.225,9.43798e-05,
0.368,0.225,9.00464e-05,
0.369,0.225,8.59125e-05,
0.37,0.225,8.19687e-05,
0.371,0.225,7.82064e-05,
0.372,0.225,7.46171e-05,
0.373,0.225,7.11931e-05,
0.374,0.225,6.79265e-05,
0.375,0.225,6.48103e-05,
0.376,0.225,6.18373e-05,
0.377,0.225,5.90012e-05,
0.378,0.225,5.62954e-05,
0.379,0.225,5.37141e-05,
0.38,0.225,5.12515e-05,
0.381,0.225,4.89022e-05,
0.382,0.225,4.66609e-05,
0.383,0.225,4.45226e-05,
0.384,0.225,4.24826e-05,
0.385,0.225,4.05365e-05,
0.386,0.225,3.86797e-05,
0.387,0.225,3.69084e-05,
0.388,0.225,3.52184e-05,
0.389,0.225,3.36061e-05,
0.39,0.225,3.20678e-05,
0.391,0.225,3.06002e-05,
0.392,0.225,2.92e-05,
0.393,0.225,2.78642e-05,
0.394,0.225,2.65897e-05,
0.395,0.225,2.53737e-05,
0.396,0.225,2.42135e-05,
0.397,0.225,2.31067e-05,
0.398,0.225,2.20506e-05,
0.399,0.225,2.1043e-05,
0.4,0.225,2.00816e-05,
0.401,0.225,1.91643e-05,
0.402,0.225,1.82891e-05,
0.403,0.225,1.7454e-05,
0.404,0.225,1.66573e-05,
0.405,0.225,1.5897e-05,
0.406,0.225,1.51717e-05,
0.407,0.225,1.44795e-05,
0.408,0.225,1.38191e-05,
0.409,0.225,1.3189e-05,
0.41,0.225,1.25877e-05,
0.411,0.225,1.2014e-05,
0.412,0.225,1.14665e-05,
0.413,0.225,1.09441e-05,
0.414,0.225,1.04456e-05,
0.415,0.225,9.96999e-06,
0.416,0.225,9.51609e-06,
0.417,0.225,9.08297e-06,
0.418,0.225,8.66965e-06,
0.419,0.225,8.27525e-06,
0.42,0.225,7.89887e-06,
0.421,0.225,7.53971e-06,
0.422,0.225,7.19695e-06,
0.423,0.225,6.86987e-06,
0.424,0.225,6.55773e-06,
0.425,0.225,6.25985e-06,
0.426,0.225,5.97557e-06,
0.427,0.225,5.70428e-06,
0.428,0.225,5.44537e-06,
0.429,0.225,5.19828e-06,
0.43,0.225,4.96246e-06,
0.431,0.225,4.7374e-06,
0.432,0.225,4.52261e-06,
0.433,0.225,4.31762e-06,
0.434,0.225,4.12196e-06,
0.435,0.225,3.93523e-06,
0.436,0.225,3.75701e-06,
0.437,0.225,3.58691e-06,
0.438,0.225,3.42456e-06,
0.439,0.225,3.2696e-06,
0.44,0.225,3.1217e-06,
0.441,0.225,2.98053e-06,
0.442,0.225,2.84578e-06,
0.443,0.225,2.71717e-06,
0.444,0.225,2.5944e-06,
0.445,0.225,2.47723e-06,
0.446,0.225,2.36537e-06,
0.447,0.225,2.25861e-06,
0.448,0.225,2.15669e-06,
0.449,0.225,2.05941e-06
