36:*******************************************,
Transient Analysis,
Mon Nov 14 20:40:53 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.01433e-08,0.45,-1.17987e-07,
1.01443e-08,0.45,4.46367e-08,
1.01453e-08,0.45,-1.13192e-07,
1.01463e-08,0.45,3.90728e-08,
1.01473e-08,0.45,-1.21117e-07,
1.01483e-08,0.45,4.81568e-08,
1.01493e-08,0.45,-1.14543e-07,
1.01503e-08,0.45,3.70193e-08,
1.01513e-08,0.45,-1.21409e-07,
1.01523e-08,0.45,4.73618e-08,
1.01533e-08,0.45,-1.13543e-07,
1.01543e-08,0.45,4.85995e-08,
1.01553e-08,0.45,-1.19623e-07,
1.01563e-08,0.45,4.94143e-08,
1.01573e-08,0.45,-1.18982e-07,
1.01583e-08,0.45,5.25987e-08,
1.01593e-08,0.45,-1.2115e-07,
1.01603e-08,0.45,5.31819e-08,
1.01613e-08,0.45,-1.22102e-07,
1.01623e-08,0.45,5.39741e-08,
1.01633e-08,0.45,-1.22496e-07,
1.01643e-08,0.45,5.61364e-08,
1.01653e-08,0.45,-1.2484e-07,
1.01663e-08,0.45,5.52927e-08,
1.01673e-08,0.45,-1.24813e-07,
1.01683e-08,0.45,5.60901e-08,
1.01693e-08,0.45,-1.23956e-07,
1.01703e-08,0.45,5.37953e-08,
1.01713e-08,0.45,-1.29973e-07,
1.01723e-08,0.45,5.77906e-08,
1.01733e-08,0.45,-1.31596e-07,
1.01743e-08,0.45,5.88072e-08,
1.01753e-08,0.45,-1.32038e-07,
1.01763e-08,0.45,5.77603e-08,
1.01773e-08,0.45,-1.3169e-07,
1.01783e-08,0.45,5.77078e-08,
1.01793e-08,0.45,-1.33926e-07,
1.01803e-08,0.45,5.58642e-08,
1.01813e-08,0.45,-1.31266e-07,
1.01823e-08,0.45,5.61591e-08,
1.01833e-08,0.45,-1.33866e-07,
1.01843e-08,0.45,5.45024e-08,
1.01853e-08,0.45,-1.32374e-07,
1.01863e-08,0.45,5.63859e-08,
1.01873e-08,0.45,-1.34155e-07,
1.01883e-08,0.45,5.40621e-08,
1.01893e-08,0.45,-1.30327e-07,
1.01903e-08,0.45,5.84641e-08,
1.01913e-08,0.45,-1.32888e-07,
1.01923e-08,0.45,5.75393e-08,
1.01933e-08,0.45,-1.26554e-07,
1.01943e-08,0.45,6.41425e-08,
1.01953e-08,0.45,-1.28175e-07,
1.01963e-08,0.45,6.34518e-08,
1.01973e-08,0.45,-1.31229e-07,
1.01983e-08,0.45,5.88612e-08,
1.01993e-08,0.45,-1.33073e-07,
1.02003e-08,0.45,5.79249e-08,
1.02013e-08,0.45,-1.26778e-07,
1.02023e-08,0.45,5.54723e-08,
1.02033e-08,0.45,-1.33196e-07,
1.02043e-08,0.45,5.37052e-08,
1.02053e-08,0.45,-1.29377e-07,
1.02063e-08,0.45,5.68904e-08,
1.02073e-08,0.45,-1.329e-07,
1.02083e-08,0.45,5.40404e-08,
1.02093e-08,0.45,-1.28488e-07,
1.02103e-08,0.45,5.5867e-08,
1.02113e-08,0.45,-1.32595e-07,
1.02123e-08,0.45,5.28933e-08,
1.02133e-08,0.45,-1.267e-07,
1.02143e-08,0.45,5.64096e-08,
1.02153e-08,0.45,-1.28153e-07,
1.02163e-08,0.45,5.43017e-08,
1.02173e-08,0.45,-1.28072e-07,
1.02183e-08,0.45,5.69639e-08,
1.02193e-08,0.45,-1.2715e-07,
1.02203e-08,0.45,5.52058e-08,
1.02213e-08,0.45,-1.26003e-07,
1.02223e-08,0.45,5.57784e-08,
1.02233e-08,0.45,-1.25013e-07,
1.02243e-08,0.45,5.52429e-08,
1.02253e-08,0.45,-1.26359e-07,
1.02263e-08,0.45,5.39245e-08,
1.02273e-08,0.45,-1.25987e-07,
1.02283e-08,0.45,5.42346e-08,
1.02293e-08,0.45,-1.2679e-07,
1.02303e-08,0.45,5.43681e-08,
1.02313e-08,0.45,-1.26289e-07,
1.02323e-08,0.45,5.51366e-08,
1.02333e-08,0.45,-1.26006e-07,
1.02343e-08,0.45,5.5308e-08,
1.02353e-08,0.45,-1.26354e-07,
1.02363e-08,0.45,5.54077e-08,
1.02373e-08,0.45,-1.2802e-07,
1.02383e-08,0.45,5.45469e-08,
1.02393e-08,0.45,-1.25014e-07,
1.02403e-08,0.45,5.57031e-08,
1.02413e-08,0.45,-1.25509e-07,
1.02423e-08,0.45,5.26271e-08,
1.02433e-08,0.45,-1.23804e-07,
1.02443e-08,0.45,5.22159e-08,
1.02453e-08,0.45,-1.2308e-07,
1.02463e-08,0.45,5.11024e-08,
1.02473e-08,0.45,-1.23007e-07,
1.02483e-08,0.45,4.90459e-08,
1.02493e-08,0.45,-1.23124e-07,
1.02503e-08,0.45,5.2424e-08,
