32:*******************************************,
Transient Analysis,
Mon Nov 14 20:29:46 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,-1.0372e-07,
1.00013e-08,0.45,9.82641e-08,
1.00023e-08,0.45,-1.07475e-07,
1.00033e-08,0.45,9.90902e-08,
1.00043e-08,0.45,-1.09565e-07,
1.00053e-08,0.45,9.59419e-08,
1.00063e-08,0.45,-1.08814e-07,
1.00073e-08,0.45,9.77509e-08,
1.00083e-08,0.45,-1.10503e-07,
1.00093e-08,0.45,9.68604e-08,
1.00103e-08,0.45,-1.10138e-07,
1.00113e-08,0.45,9.67294e-08,
1.00123e-08,0.45,-1.10119e-07,
1.00133e-08,0.45,9.65709e-08,
1.00143e-08,0.45,-1.09354e-07,
1.00153e-08,0.45,9.68913e-08,
1.00163e-08,0.45,-1.09926e-07,
1.00173e-08,0.45,9.65747e-08,
1.00183e-08,0.45,-1.11596e-07,
1.00193e-08,0.45,9.85471e-08,
1.00203e-08,0.45,-1.09052e-07,
1.00213e-08,0.45,9.88886e-08,
1.00223e-08,0.45,-1.12437e-07,
1.00233e-08,0.45,9.58106e-08,
1.00243e-08,0.45,-1.08588e-07,
1.00253e-08,0.45,9.68208e-08,
1.00263e-08,0.45,-1.1082e-07,
1.00273e-08,0.45,9.66923e-08,
1.00283e-08,0.45,-1.09528e-07,
1.00293e-08,0.45,9.69983e-08,
1.00303e-08,0.45,-1.11072e-07,
1.00313e-08,0.45,9.70975e-08,
1.00323e-08,0.45,-1.09729e-07,
1.00333e-08,0.45,9.73421e-08,
1.00343e-08,0.45,-1.11023e-07,
1.00353e-08,0.45,9.65442e-08,
1.00363e-08,0.45,-1.1104e-07,
1.00373e-08,0.45,9.72861e-08,
1.00383e-08,0.45,-1.12765e-07,
1.00393e-08,0.45,9.73407e-08,
1.00403e-08,0.45,-1.11648e-07,
1.00413e-08,0.45,9.97886e-08,
1.00423e-08,0.45,-1.10759e-07,
1.00433e-08,0.45,1.00476e-07,
1.00443e-08,0.45,-1.10704e-07,
1.00453e-08,0.45,1.00655e-07,
1.00463e-08,0.45,-1.10036e-07,
1.00473e-08,0.45,1.01005e-07,
1.00483e-08,0.45,-1.13877e-07,
1.00493e-08,0.45,9.84904e-08,
1.00503e-08,0.45,-1.12682e-07,
1.00513e-08,0.45,9.97192e-08,
1.00523e-08,0.45,-1.13252e-07,
1.00533e-08,0.45,9.81517e-08,
1.00543e-08,0.45,-1.12566e-07,
1.00553e-08,0.45,9.95954e-08,
1.00563e-08,0.45,-1.12683e-07,
1.00573e-08,0.45,9.81961e-08,
1.00583e-08,0.45,-1.12543e-07,
1.00593e-08,0.45,9.95176e-08,
1.00603e-08,0.45,-1.11871e-07,
1.00613e-08,0.45,9.74774e-08,
