35:*******************************************,
Transient Analysis,
Mon Nov 14 20:39:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],v(out) [V],
1.01443e-08,0.45,-1.9774e-08,
1.01453e-08,0.45,-1.90385e-08,
1.01463e-08,0.45,-5.50696e-09,
1.01473e-08,0.45,8.59834e-10,
1.01483e-08,0.45,2.51072e-09,
1.01493e-08,0.45,9.75272e-09,
1.01503e-08,0.45,1.08752e-08,
1.01513e-08,0.45,1.78805e-08,
1.01523e-08,0.45,1.90032e-08,
1.01533e-08,0.45,2.60025e-08,
1.01543e-08,0.45,2.72093e-08,
1.01553e-08,0.45,3.45624e-08,
1.01563e-08,0.45,3.54547e-08,
1.01573e-08,0.45,4.22272e-08,
1.01583e-08,0.45,4.22766e-08,
1.01593e-08,0.45,4.91654e-08,
1.01603e-08,0.45,4.97318e-08,
1.01613e-08,0.45,5.65212e-08,
1.01623e-08,0.45,5.69912e-08,
1.01633e-08,0.45,6.42984e-08,
1.01643e-08,0.45,6.51496e-08,
1.01653e-08,0.45,7.2782e-08,
1.01663e-08,0.45,7.36133e-08,
1.01673e-08,0.45,8.08646e-08,
1.01683e-08,0.45,8.16816e-08,
1.01693e-08,0.45,8.90698e-08,
1.01703e-08,0.45,4.26363e-08,
1.01713e-08,0.45,2.13042e-08,
1.01723e-08,0.45,1.1045e-08,
1.01733e-08,0.45,9.00961e-09,
1.01743e-08,0.45,-9.70456e-10,
1.01753e-08,0.45,-3.42527e-09,
1.01763e-08,0.45,-1.37434e-08,
1.01773e-08,0.45,-1.55706e-08,
1.01783e-08,0.45,-2.66924e-08,
1.01793e-08,0.45,-2.80062e-08,
1.01803e-08,0.45,-3.518e-08,
1.01813e-08,0.45,-3.6959e-08,
1.01823e-08,0.45,-4.42428e-08,
1.01833e-08,0.45,-4.57835e-08,
1.01843e-08,0.45,-6.0467e-08,
1.01853e-08,0.45,-6.2385e-08,
1.01863e-08,0.45,-7.73114e-08,
1.01873e-08,0.45,-7.97387e-08,
1.01883e-08,0.45,-9.40932e-08,
1.01893e-08,0.45,-3.97995e-08,
1.01903e-08,0.45,-1.28998e-08,
1.01913e-08,0.45,-5.7506e-10,
1.01923e-08,0.45,1.58562e-09,
1.01933e-08,0.45,1.46543e-08,
1.01943e-08,0.45,1.74128e-08,
1.01953e-08,0.45,3.09392e-08,
1.01963e-08,0.45,3.30204e-08,
1.01973e-08,0.45,4.63769e-08,
1.01983e-08,0.45,1.69329e-08,
1.01993e-08,0.45,1.06878e-08,
1.02003e-08,0.45,-1.13393e-08,
1.02013e-08,0.45,-1.5163e-09,
1.02023e-08,0.45,-5.04032e-09,
1.02033e-08,0.45,1.18111e-09,
1.02043e-08,0.45,1.87073e-09,
1.02053e-08,0.45,1.46988e-08,
1.02063e-08,0.45,7.41128e-09,
1.02073e-08,0.45,6.05015e-09,
1.02083e-08,0.45,-7.15517e-09,
1.02093e-08,0.45,-6.48666e-10,
1.02103e-08,0.45,1.02029e-09,
1.02113e-08,0.45,3.30787e-09,
1.02123e-08,0.45,2.54146e-09,
1.02133e-08,0.45,4.73417e-09,
1.02143e-08,0.45,4.05229e-09,
1.02153e-08,0.45,5.29953e-09,
1.02163e-08,0.45,4.16864e-09,
