28:*******************************************,
Transient Analysis,
Mon Nov 14 20:25:47 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,2.63852e-08,
1.00013e-08,0.45,-2.55825e-08,
1.00023e-08,0.45,2.28696e-08,
1.00033e-08,0.45,-2.01097e-08,
1.00043e-08,0.45,2.71868e-08,
1.00053e-08,0.45,-2.4409e-08,
1.00063e-08,0.45,2.30516e-08,
1.00073e-08,0.45,-1.90255e-08,
1.00083e-08,0.45,2.39652e-08,
1.00093e-08,0.45,-2.89335e-08,
1.00103e-08,0.45,2.1477e-08,
1.00113e-08,0.45,-2.19823e-08,
1.00123e-08,0.45,2.247e-08,
1.00133e-08,0.45,-2.92271e-08,
1.00143e-08,0.45,2.13039e-08,
1.00153e-08,0.45,-2.35019e-08,
1.00163e-08,0.45,2.27659e-08,
1.00173e-08,0.45,-2.81684e-08,
1.00183e-08,0.45,1.97621e-08,
1.00193e-08,0.45,-2.40581e-08,
1.00203e-08,0.45,2.28861e-08,
1.00213e-08,0.45,-2.78702e-08,
1.00223e-08,0.45,1.94978e-08,
1.00233e-08,0.45,-2.4052e-08,
1.00243e-08,0.45,2.28686e-08,
1.00253e-08,0.45,-2.76228e-08,
1.00263e-08,0.45,1.9515e-08,
1.00273e-08,0.45,-2.41016e-08,
1.00283e-08,0.45,2.28152e-08,
1.00293e-08,0.45,-2.75977e-08,
1.00303e-08,0.45,1.95546e-08,
1.00313e-08,0.45,-2.44699e-08,
1.00323e-08,0.45,2.25097e-08,
1.00333e-08,0.45,-2.79991e-08,
1.00343e-08,0.45,2.02686e-08,
1.00353e-08,0.45,-2.47521e-08,
1.00363e-08,0.45,2.34417e-08,
1.00373e-08,0.45,-2.80513e-08,
1.00383e-08,0.45,2.01319e-08,
1.00393e-08,0.45,-2.473e-08,
1.00403e-08,0.45,2.30972e-08,
1.00413e-08,0.45,-2.80991e-08,
1.00423e-08,0.45,1.99215e-08,
1.00433e-08,0.45,-2.48885e-08,
1.00443e-08,0.45,2.29342e-08,
1.00453e-08,0.45,-2.81083e-08,
1.00463e-08,0.45,1.97997e-08,
1.00473e-08,0.45,-2.43921e-08,
1.00483e-08,0.45,2.29981e-08,
1.00493e-08,0.45,-2.7555e-08,
1.00503e-08,0.45,1.99097e-08,
1.00513e-08,0.45,-2.44253e-08,
1.00523e-08,0.45,2.30202e-08,
1.00533e-08,0.45,-2.73625e-08,
1.00543e-08,0.45,1.98577e-08,
1.00553e-08,0.45,-2.45992e-08,
1.00563e-08,0.45,2.28119e-08,
1.00573e-08,0.45,-2.7416e-08,
1.00583e-08,0.45,1.98871e-08,
1.00593e-08,0.45,-2.46483e-08,
1.00603e-08,0.45,2.27252e-08,
1.00613e-08,0.45,-2.74417e-08,
1.00623e-08,0.45,1.98488e-08,
1.00633e-08,0.45,-2.47955e-08,
1.00643e-08,0.45,2.259e-08,
1.00653e-08,0.45,-2.73873e-08,
1.00663e-08,0.45,1.99888e-08,
1.00673e-08,0.45,-2.4435e-08,
1.00683e-08,0.45,2.24617e-08,
1.00693e-08,0.45,-2.71938e-08,
1.00703e-08,0.45,2.01057e-08,
1.00713e-08,0.45,-2.43039e-08,
1.00723e-08,0.45,2.26841e-08,
1.00733e-08,0.45,-2.63658e-08,
1.00743e-08,0.45,1.99694e-08,
1.00753e-08,0.45,-2.50895e-08,
1.00763e-08,0.45,2.25449e-08,
1.00773e-08,0.45,-2.55523e-08,
1.00783e-08,0.45,2.06655e-08,
1.00793e-08,0.45,-2.44253e-08,
1.00803e-08,0.45,2.27767e-08,
1.00813e-08,0.45,-2.58575e-08,
1.00823e-08,0.45,2.09855e-08,
1.00833e-08,0.45,-2.43225e-08,
1.00843e-08,0.45,2.27193e-08,
1.00853e-08,0.45,-2.55642e-08,
1.00863e-08,0.45,2.14302e-08,
1.00873e-08,0.45,-2.43982e-08,
1.00883e-08,0.45,2.26659e-08,
1.00893e-08,0.45,-2.62453e-08,
1.00903e-08,0.45,2.07816e-08,
1.00913e-08,0.45,-2.41244e-08,
1.00923e-08,0.45,2.2685e-08,
1.00933e-08,0.45,-2.19181e-08,
1.00943e-08,0.45,1.88327e-08,
1.00953e-08,0.45,-2.19696e-08,
1.00963e-08,0.45,1.83882e-08,
1.00973e-08,0.45,-2.13035e-08,
1.00983e-08,0.45,1.85285e-08,
1.00993e-08,0.45,-2.13327e-08,
1.01003e-08,0.45,1.85333e-08,
1.01013e-08,0.45,-2.1103e-08,
1.01023e-08,0.45,1.8912e-08,
1.01033e-08,0.45,-2.16704e-08,
1.01043e-08,0.45,1.87776e-08,
1.01053e-08,0.45,-2.10701e-08,
1.01063e-08,0.45,1.88627e-08,
1.01073e-08,0.45,-2.19823e-08,
1.01083e-08,0.45,1.89877e-08,
1.01093e-08,0.45,-2.14353e-08,
1.01103e-08,0.45,1.88953e-08,
1.01113e-08,0.45,-2.21891e-08,
1.01123e-08,0.45,1.94018e-08,
1.01133e-08,0.45,-2.10867e-08,
1.01143e-08,0.45,1.92936e-08,
1.01153e-08,0.45,-2.18943e-08,
1.01163e-08,0.45,1.91888e-08,
1.01173e-08,0.45,-2.13402e-08,
1.01183e-08,0.45,1.95563e-08,
1.01193e-08,0.45,-2.15172e-08,
1.01203e-08,0.45,1.99697e-08,
1.01213e-08,0.45,-2.12186e-08,
1.01223e-08,0.45,1.95658e-08,
1.01233e-08,0.45,-2.14913e-08,
1.01243e-08,0.45,2.01355e-08,
1.01253e-08,0.45,-2.1195e-08,
1.01263e-08,0.45,1.95774e-08,
1.01273e-08,0.45,-2.17002e-08,
1.01283e-08,0.45,1.99939e-08,
1.01293e-08,0.45,-2.13704e-08,
1.01303e-08,0.45,1.95615e-08,
1.01313e-08,0.45,-2.05614e-08,
1.01323e-08,0.45,2.09528e-08,
1.01333e-08,0.45,-2.01768e-08,
1.01343e-08,0.45,2.06389e-08,
1.01353e-08,0.45,-2.23721e-08,
1.01363e-08,0.45,2.17289e-08,
1.01373e-08,0.45,-2.50566e-08,
1.01383e-08,0.45,2.28672e-08,
1.01393e-08,0.45,-2.43624e-08,
1.01403e-08,0.45,2.46758e-08,
1.01413e-08,0.45,-2.46666e-08,
1.01423e-08,0.45,2.38931e-08,
1.01433e-08,0.45,-2.41405e-08,
1.01443e-08,0.45,2.52011e-08,
1.01453e-08,0.45,-2.41202e-08,
1.01463e-08,0.45,2.39823e-08,
1.01473e-08,0.45,-2.44958e-08,
1.01483e-08,0.45,2.56941e-08,
1.01493e-08,0.45,-2.41528e-08,
1.01503e-08,0.45,2.5381e-08,
1.01513e-08,0.45,-2.42488e-08,
1.01523e-08,0.45,2.57881e-08,
1.01533e-08,0.45,-2.39248e-08,
1.01543e-08,0.45,2.49429e-08,
1.01553e-08,0.45,-2.43964e-08,
1.01563e-08,0.45,2.5681e-08,
1.01573e-08,0.45,-2.40084e-08,
1.01583e-08,0.45,2.51577e-08,
1.01593e-08,0.45,-2.44729e-08,
1.01603e-08,0.45,2.56758e-08,
1.01613e-08,0.45,-2.39917e-08,
1.01623e-08,0.45,2.52438e-08,
1.01633e-08,0.45,-2.40725e-08,
1.01643e-08,0.45,2.62776e-08,
1.01653e-08,0.45,-2.36321e-08,
1.01663e-08,0.45,2.52894e-08,
1.01673e-08,0.45,-2.34322e-08,
1.01683e-08,0.45,2.6304e-08,
1.01693e-08,0.45,-2.32772e-08,
1.01703e-08,0.45,2.56183e-08,
1.01713e-08,0.45,-2.41191e-08,
1.01723e-08,0.45,2.65271e-08,
1.01733e-08,0.45,-2.37017e-08,
1.01743e-08,0.45,2.58084e-08,
1.01753e-08,0.45,-2.38435e-08,
1.01763e-08,0.45,2.65186e-08,
1.01773e-08,0.45,-2.31245e-08,
1.01783e-08,0.45,2.58484e-08,
1.01793e-08,0.45,-2.34905e-08,
1.01803e-08,0.45,2.654e-08,
1.01813e-08,0.45,-2.29144e-08,
1.01823e-08,0.45,2.19572e-08,
1.01833e-08,0.45,-2.77598e-08,
1.01843e-08,0.45,2.70964e-08,
1.01853e-08,0.45,-2.35638e-08,
1.01863e-08,0.45,2.19485e-08,
1.01873e-08,0.45,-2.84897e-08,
1.01883e-08,0.45,2.72545e-08,
1.01893e-08,0.45,-2.32707e-08,
1.01903e-08,0.45,2.27361e-08,
1.01913e-08,0.45,-2.78738e-08,
1.01923e-08,0.45,2.74659e-08,
1.01933e-08,0.45,-2.39813e-08,
1.01943e-08,0.45,2.26898e-08,
1.01953e-08,0.45,-2.85002e-08,
1.01963e-08,0.45,2.76394e-08,
