31:*******************************************,
Transient Analysis,
Mon Nov 14 20:28:07 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.01433e-08,0.45,9.40807e-08,
1.01443e-08,0.45,-1.10825e-07,
1.01453e-08,0.45,9.31992e-08,
1.01463e-08,0.45,-1.09259e-07,
1.01473e-08,0.45,9.49579e-08,
1.01483e-08,0.45,-1.10278e-07,
1.01493e-08,0.45,9.38533e-08,
1.01503e-08,0.45,-1.10135e-07,
1.01513e-08,0.45,9.51084e-08,
1.01523e-08,0.45,-1.10974e-07,
1.01533e-08,0.45,9.38696e-08,
1.01543e-08,0.45,-1.11173e-07,
1.01553e-08,0.45,9.46611e-08,
1.01563e-08,0.45,-1.12805e-07,
1.01573e-08,0.45,9.39872e-08,
1.01583e-08,0.45,-1.12603e-07,
1.01593e-08,0.45,9.4462e-08,
1.01603e-08,0.45,-1.1321e-07,
1.01613e-08,0.45,9.33759e-08,
1.01623e-08,0.45,-1.13199e-07,
1.01633e-08,0.45,9.37055e-08,
1.01643e-08,0.45,-1.10033e-07,
1.01653e-08,0.45,9.25378e-08,
1.01663e-08,0.45,-1.10315e-07,
1.01673e-08,0.45,9.29676e-08,
1.01683e-08,0.45,-1.10951e-07,
1.01693e-08,0.45,9.17934e-08,
1.01703e-08,0.45,-1.1113e-07,
1.01713e-08,0.45,9.23693e-08,
1.01723e-08,0.45,-1.11798e-07,
1.01733e-08,0.45,9.16209e-08,
1.01743e-08,0.45,-1.11614e-07,
1.01753e-08,0.45,9.26681e-08,
1.01763e-08,0.45,-1.11623e-07,
1.01773e-08,0.45,9.21185e-08,
1.01783e-08,0.45,-1.11216e-07,
1.01793e-08,0.45,9.26365e-08,
1.01803e-08,0.45,-1.12683e-07,
1.01813e-08,0.45,9.15203e-08,
1.01823e-08,0.45,-1.09135e-07,
1.01833e-08,0.45,9.24242e-08,
1.01843e-08,0.45,-1.10572e-07,
1.01853e-08,0.45,9.30968e-08,
1.01863e-08,0.45,-1.10266e-07,
1.01873e-08,0.45,9.39789e-08,
1.01883e-08,0.45,-1.09912e-07,
1.01893e-08,0.45,9.44835e-08,
1.01903e-08,0.45,-1.08705e-07,
1.01913e-08,0.45,9.2856e-08,
1.01923e-08,0.45,-1.09729e-07,
1.01933e-08,0.45,9.40643e-08,
1.01943e-08,0.45,-1.09464e-07,
1.01953e-08,0.45,9.45397e-08,
1.01963e-08,0.45,-1.09987e-07,
1.01973e-08,0.45,9.49594e-08,
1.01983e-08,0.45,-1.10997e-07,
1.01993e-08,0.45,9.44865e-08,
1.02003e-08,0.45,-1.13609e-07,
1.02013e-08,0.45,9.28118e-08,
1.02023e-08,0.45,-1.09984e-07,
1.02033e-08,0.45,9.15637e-08,
1.02043e-08,0.45,-1.14858e-07,
1.02053e-08,0.45,9.20323e-08,
1.02063e-08,0.45,-1.14065e-07,
1.02073e-08,0.45,9.20473e-08,
1.02083e-08,0.45,-1.12137e-07,
1.02093e-08,0.45,9.54223e-08,
1.02103e-08,0.45,-1.13932e-07,
1.02113e-08,0.45,9.16652e-08,
1.02123e-08,0.45,-1.11837e-07,
1.02133e-08,0.45,9.41893e-08,
1.02143e-08,0.45,-1.14208e-07,
1.02153e-08,0.45,9.16391e-08,
1.02163e-08,0.45,-1.12154e-07,
1.02173e-08,0.45,9.34138e-08,
1.02183e-08,0.45,-1.13783e-07,
1.02193e-08,0.45,9.46651e-08,
1.02203e-08,0.45,-1.00365e-07,
1.02213e-08,0.45,1.04128e-07,
1.02223e-08,0.45,-1.08636e-07,
1.02233e-08,0.45,1.00044e-07,
1.02243e-08,0.45,-1.09525e-07,
1.02253e-08,0.45,9.58822e-08,
1.02263e-08,0.45,-1.12269e-07,
1.02273e-08,0.45,9.63885e-08,
1.02283e-08,0.45,-1.18122e-07,
1.02293e-08,0.45,1.07121e-07,
1.02303e-08,0.45,-1.04076e-07,
1.02313e-08,0.45,9.98496e-08,
1.02323e-08,0.45,-1.15282e-07,
1.02333e-08,0.45,1.00064e-07,
1.02343e-08,0.45,-1.08154e-07,
1.02353e-08,0.45,1.0992e-07,
1.02363e-08,0.45,-1.15399e-07,
1.02373e-08,0.45,1.00669e-07,
1.02383e-08,0.45,-1.1116e-07,
1.02393e-08,0.45,1.02916e-07,
1.02403e-08,0.45,-1.12354e-07,
1.02413e-08,0.45,9.67948e-08,
1.02423e-08,0.45,-1.07304e-07,
1.02433e-08,0.45,1.02976e-07,
1.02443e-08,0.45,-1.12086e-07,
1.02453e-08,0.45,1.02595e-07,
1.02463e-08,0.45,-1.09176e-07,
1.02473e-08,0.45,1.0547e-07,
1.02483e-08,0.45,-1.11449e-07,
1.02493e-08,0.45,9.76188e-08,
1.02503e-08,0.45,-1.14057e-07,
1.02513e-08,0.45,9.95591e-08,
1.02523e-08,0.45,-1.12572e-07,
1.02533e-08,0.45,9.67918e-08,
1.02543e-08,0.45,-1.12265e-07,
1.02553e-08,0.45,9.82232e-08,
1.02563e-08,0.45,-1.13927e-07,
1.02573e-08,0.45,9.49854e-08,
1.02583e-08,0.45,-1.13369e-07,
1.02593e-08,0.45,9.66579e-08,
1.02603e-08,0.45,-1.16331e-07,
1.02613e-08,0.45,9.36672e-08,
1.02623e-08,0.45,-1.15189e-07,
1.02633e-08,0.45,9.5077e-08,
1.02643e-08,0.45,-1.18257e-07,
1.02653e-08,0.45,9.17104e-08,
1.02663e-08,0.45,-1.1726e-07,
1.02673e-08,0.45,9.29091e-08,
1.02683e-08,0.45,-1.17729e-07,
1.02693e-08,0.45,9.23043e-08,
1.02703e-08,0.45,-1.1696e-07,
1.02713e-08,0.45,1.02799e-07,
1.02723e-08,0.45,-1.10471e-07,
1.02733e-08,0.45,1.04474e-07,
1.02743e-08,0.45,-1.07959e-07,
1.02753e-08,0.45,1.06484e-07,
1.02763e-08,0.45,-1.07108e-07,
1.02773e-08,0.45,1.11616e-07,
1.02783e-08,0.45,-1.0199e-07,
1.02793e-08,0.45,1.12781e-07,
1.02803e-08,0.45,-1.04276e-07,
1.02813e-08,0.45,9.24795e-08,
1.02823e-08,0.45,-1.15897e-07,
1.02833e-08,0.45,9.33454e-08,
1.02843e-08,0.45,-1.08771e-07,
1.02853e-08,0.45,1.02602e-07,
1.02863e-08,0.45,-1.13525e-07,
1.02873e-08,0.45,9.51082e-08,
1.02883e-08,0.45,-1.1282e-07,
1.02893e-08,0.45,9.67477e-08,
1.02903e-08,0.45,-1.13389e-07,
1.02913e-08,0.45,9.73714e-08,
1.02923e-08,0.45,-1.16679e-07,
1.02933e-08,0.45,1.01719e-07,
1.02943e-08,0.45,-1.08003e-07,
1.02953e-08,0.45,1.00508e-07,
1.02963e-08,0.45,-1.10799e-07,
1.02973e-08,0.45,1.02428e-07,
1.02983e-08,0.45,-1.08752e-07,
1.02993e-08,0.45,9.99012e-08,
1.03003e-08,0.45,-1.11705e-07,
1.03013e-08,0.45,1.02302e-07,
1.03023e-08,0.45,-1.10951e-07,
1.03033e-08,0.45,1.00651e-07,
1.03043e-08,0.45,-1.09909e-07,
1.03053e-08,0.45,1.01193e-07,
1.03063e-08,0.45,-1.08831e-07,
1.03073e-08,0.45,1.00313e-07,
1.03083e-08,0.45,-1.06679e-07,
1.03093e-08,0.45,1.03343e-07,
1.03103e-08,0.45,-1.07114e-07,
1.03113e-08,0.45,9.78699e-08,
1.03123e-08,0.45,-1.12594e-07,
1.03133e-08,0.45,9.93222e-08,
1.03143e-08,0.45,-1.15526e-07,
1.03153e-08,0.45,9.81362e-08,
1.03163e-08,0.45,-1.16432e-07,
1.03173e-08,0.45,9.73044e-08,
1.03183e-08,0.45,-1.17388e-07,
1.03193e-08,0.45,9.59042e-08,
1.03203e-08,0.45,-1.02625e-07,
1.03213e-08,0.45,1.0615e-07,
1.03223e-08,0.45,-1.0886e-07,
1.03233e-08,0.45,1.02543e-07,
1.03243e-08,0.45,-1.0532e-07,
1.03253e-08,0.45,9.83575e-08,
1.03263e-08,0.45,-1.08892e-07,
1.03273e-08,0.45,1.00151e-07,
1.03283e-08,0.45,-1.06662e-07,
1.03293e-08,0.45,9.54185e-08,
1.03303e-08,0.45,-1.02472e-07,
1.03313e-08,0.45,8.7402e-08,
1.03323e-08,0.45,-1.17327e-07,
1.03333e-08,0.45,9.39375e-08,
1.03343e-08,0.45,-1.07356e-07,
1.03353e-08,0.45,9.08443e-08,
1.03363e-08,0.45,-1.15274e-07,
1.03373e-08,0.45,8.5512e-08,
1.03383e-08,0.45,-1.0523e-07,
1.03393e-08,0.45,9.12939e-08,
1.03403e-08,0.45,-1.07306e-07,
1.03413e-08,0.45,9.28022e-08,
1.03423e-08,0.45,-1.1049e-07,
1.03433e-08,0.45,9.18479e-08,
1.03443e-08,0.45,-1.08059e-07,
1.03453e-08,0.45,9.35692e-08,
1.03463e-08,0.45,-1.09173e-07,
1.03473e-08,0.45,9.29043e-08,
1.03483e-08,0.45,-1.07508e-07,
1.03493e-08,0.45,9.06415e-08,
1.03503e-08,0.45,-1.16557e-07,
1.03513e-08,0.45,9.04033e-08,
1.03523e-08,0.45,-1.09568e-07,
1.03533e-08,0.45,9.17108e-08,
1.03543e-08,0.45,-1.15124e-07,
1.03553e-08,0.45,9.04928e-08,
1.03563e-08,0.45,-1.1119e-07,
1.03573e-08,0.45,9.18072e-08,
1.03583e-08,0.45,-1.14314e-07,
1.03593e-08,0.45,9.07032e-08,
1.03603e-08,0.45,-1.10005e-07,
1.03613e-08,0.45,9.40036e-08,
1.03623e-08,0.45,-1.05102e-07,
1.03633e-08,0.45,9.05625e-08,
1.03643e-08,0.45,-1.06085e-07,
1.03653e-08,0.45,8.71498e-08,
1.03663e-08,0.45,-1.09392e-07,
1.03673e-08,0.45,8.28452e-08,
1.03683e-08,0.45,-1.14043e-07,
1.03693e-08,0.45,9.27439e-08,
