33:*******************************************,
Transient Analysis,
Mon Nov 14 20:30:29 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
1.00003e-08,0.45,-7.29421e-07,
1.00013e-08,0.45,-6.05307e-07,
1.00023e-08,0.45,-7.30043e-07,
1.00033e-08,0.45,-6.05808e-07,
1.00043e-08,0.45,-7.29513e-07,
1.00053e-08,0.45,-6.04824e-07,
1.00063e-08,0.45,-7.29169e-07,
1.00073e-08,0.45,-6.05558e-07,
1.00083e-08,0.45,-7.3065e-07,
1.00093e-08,0.45,-6.04762e-07,
1.00103e-08,0.45,-7.29246e-07,
1.00113e-08,0.45,-6.04931e-07,
1.00123e-08,0.45,-7.2981e-07,
1.00133e-08,0.45,-6.04143e-07,
1.00143e-08,0.45,-7.28793e-07,
1.00153e-08,0.45,-6.04207e-07,
1.00163e-08,0.45,-7.30622e-07,
1.00173e-08,0.45,-6.0545e-07,
1.00183e-08,0.45,-7.30428e-07,
1.00193e-08,0.45,-6.05564e-07,
1.00203e-08,0.45,-7.30025e-07,
1.00213e-08,0.45,-6.05422e-07,
1.00223e-08,0.45,-7.30108e-07,
1.00233e-08,0.45,-6.06613e-07,
1.00243e-08,0.45,-7.31062e-07,
1.00253e-08,0.45,-6.06494e-07,
1.00263e-08,0.45,-7.30924e-07,
1.00273e-08,0.45,-6.06083e-07,
1.00283e-08,0.45,-7.30956e-07,
1.00293e-08,0.45,-6.07783e-07,
1.00303e-08,0.45,-7.3173e-07,
1.00313e-08,0.45,-6.08634e-07,
1.00323e-08,0.45,-7.33141e-07,
1.00333e-08,0.45,-6.03808e-07,
1.00343e-08,0.45,-7.31384e-07,
1.00353e-08,0.45,-6.04354e-07,
1.00363e-08,0.45,-7.32318e-07,
1.00373e-08,0.45,-6.04527e-07,
1.00383e-08,0.45,-7.32832e-07,
1.00393e-08,0.45,-6.04636e-07,
1.00403e-08,0.45,-7.32882e-07,
1.00413e-08,0.45,-6.04816e-07,
1.00423e-08,0.45,-7.32568e-07,
1.00433e-08,0.45,-6.04319e-07,
1.00443e-08,0.45,-7.33461e-07,
1.00453e-08,0.45,-6.05461e-07,
1.00463e-08,0.45,-7.3351e-07,
1.00473e-08,0.45,-6.05214e-07,
1.00483e-08,0.45,-7.334e-07,
1.00493e-08,0.45,-6.05219e-07,
1.00503e-08,0.45,-7.33321e-07,
1.00513e-08,0.45,-6.04899e-07,
1.00523e-08,0.45,-7.34166e-07,
1.00533e-08,0.45,-6.06025e-07,
1.00543e-08,0.45,-7.34603e-07,
1.00553e-08,0.45,-6.05733e-07,
1.00563e-08,0.45,-7.34471e-07,
1.00573e-08,0.45,-6.05579e-07,
1.00583e-08,0.45,-7.34186e-07,
1.00593e-08,0.45,-6.06501e-07,
1.00603e-08,0.45,-7.35521e-07,
1.00613e-08,0.45,-6.06199e-07,
1.00623e-08,0.45,-7.35086e-07,
1.00633e-08,0.45,-6.06222e-07,
1.00643e-08,0.45,-7.32454e-07,
1.00653e-08,0.45,-6.04725e-07,
1.00663e-08,0.45,-7.35778e-07,
1.00673e-08,0.45,-6.03866e-07,
1.00683e-08,0.45,-7.34719e-07,
1.00693e-08,0.45,-6.03787e-07,
1.00703e-08,0.45,-7.36006e-07,
1.00713e-08,0.45,-6.04404e-07,
1.00723e-08,0.45,-7.36514e-07,
1.00733e-08,0.45,-6.05799e-07,
1.00743e-08,0.45,-7.32531e-07,
1.00753e-08,0.45,-6.04994e-07,
1.00763e-08,0.45,-7.35251e-07,
1.00773e-08,0.45,-6.05886e-07,
1.00783e-08,0.45,-7.35137e-07,
1.00793e-08,0.45,-6.07126e-07,
1.00803e-08,0.45,-7.3544e-07,
1.00813e-08,0.45,-6.06242e-07,
1.00823e-08,0.45,-7.33587e-07,
1.00833e-08,0.45,-6.05568e-07,
1.00843e-08,0.45,-7.3578e-07,
1.00853e-08,0.45,-6.05445e-07,
1.00863e-08,0.45,-7.35524e-07,
1.00873e-08,0.45,-6.0599e-07,
1.00883e-08,0.45,-7.36056e-07,
1.00893e-08,0.45,-6.05963e-07,
1.00903e-08,0.45,-7.33875e-07,
1.00913e-08,0.45,-6.05167e-07,
1.00923e-08,0.45,-7.3382e-07,
1.00933e-08,0.45,-6.05312e-07,
1.00943e-08,0.45,-7.33883e-07,
1.00953e-08,0.45,-6.05209e-07,
1.00963e-08,0.45,-7.33729e-07,
1.00973e-08,0.45,-6.05268e-07,
1.00983e-08,0.45,-7.36065e-07,
1.00993e-08,0.45,-6.05674e-07,
1.01003e-08,0.45,-7.36129e-07,
1.01013e-08,0.45,-6.0301e-07,
1.01023e-08,0.45,-7.34733e-07,
1.01033e-08,0.45,-6.04893e-07,
1.01043e-08,0.45,-7.34442e-07,
1.01053e-08,0.45,-6.0492e-07,
1.01063e-08,0.45,-7.33781e-07,
1.01073e-08,0.45,-6.051e-07,
1.01083e-08,0.45,-7.34428e-07,
1.01093e-08,0.45,-6.06432e-07,
1.01103e-08,0.45,-7.35787e-07,
1.01113e-08,0.45,-6.06011e-07,
1.01123e-08,0.45,-7.33608e-07,
1.01133e-08,0.45,-6.03842e-07,
1.01143e-08,0.45,-7.3472e-07,
1.01153e-08,0.45,-6.05173e-07,
1.01163e-08,0.45,-7.3346e-07,
1.01173e-08,0.45,-6.06074e-07,
1.01183e-08,0.45,-7.34326e-07,
1.01193e-08,0.45,-6.03912e-07,
1.01203e-08,0.45,-7.3365e-07,
1.01213e-08,0.45,-6.03148e-07,
1.01223e-08,0.45,-7.34227e-07,
1.01233e-08,0.45,-6.03518e-07,
1.01243e-08,0.45,-7.33016e-07,
1.01253e-08,0.45,-6.04352e-07,
1.01263e-08,0.45,-7.35169e-07,
1.01273e-08,0.45,-6.05756e-07,
1.01283e-08,0.45,-7.35085e-07,
1.01293e-08,0.45,-6.03708e-07,
1.01303e-08,0.45,-7.34274e-07,
1.01313e-08,0.45,-6.04401e-07,
1.01323e-08,0.45,-7.33856e-07,
1.01333e-08,0.45,-6.03633e-07,
1.01343e-08,0.45,-7.34292e-07,
1.01353e-08,0.45,-6.04087e-07,
1.01363e-08,0.45,-7.33193e-07,
1.01373e-08,0.45,-6.04176e-07,
1.01383e-08,0.45,-7.34414e-07,
1.01393e-08,0.45,-6.04021e-07,
1.01403e-08,0.45,-7.33225e-07,
1.01413e-08,0.45,-6.03936e-07,
1.01423e-08,0.45,-7.34307e-07,
1.01433e-08,0.45,-6.04134e-07,
1.01443e-08,0.45,-7.33412e-07,
1.01453e-08,0.45,-6.03976e-07,
1.01463e-08,0.45,-7.34152e-07,
1.01473e-08,0.45,-6.043e-07,
1.01483e-08,0.45,-7.34306e-07,
1.01493e-08,0.45,-6.03659e-07,
1.01503e-08,0.45,-7.25813e-07,
1.01513e-08,0.45,-5.97328e-07,
1.01523e-08,0.45,-7.3217e-07,
1.01533e-08,0.45,-6.01832e-07,
1.01543e-08,0.45,-7.26689e-07,
1.01553e-08,0.45,-5.99305e-07,
1.01563e-08,0.45,-7.30601e-07,
1.01573e-08,0.45,-6.03195e-07,
1.01583e-08,0.45,-7.34055e-07,
1.01593e-08,0.45,-5.9733e-07,
1.01603e-08,0.45,-7.29602e-07,
1.01613e-08,0.45,-6.03021e-07,
1.01623e-08,0.45,-7.36503e-07,
1.01633e-08,0.45,-5.98618e-07,
1.01643e-08,0.45,-7.33576e-07,
1.01653e-08,0.45,-5.95781e-07,
1.01663e-08,0.45,-7.38461e-07,
1.01673e-08,0.45,-6.04233e-07,
1.01683e-08,0.45,-7.35278e-07,
1.01693e-08,0.45,-5.9712e-07,
1.01703e-08,0.45,-7.27102e-07,
1.01713e-08,0.45,-6.09107e-07,
1.01723e-08,0.45,-7.37816e-07,
1.01733e-08,0.45,-5.97011e-07,
1.01743e-08,0.45,-7.2874e-07,
1.01753e-08,0.45,-6.06009e-07,
1.01763e-08,0.45,-7.35761e-07,
1.01773e-08,0.45,-5.98898e-07,
1.01783e-08,0.45,-7.29304e-07,
1.01793e-08,0.45,-5.9887e-07,
1.01803e-08,0.45,-7.37114e-07,
1.01813e-08,0.45,-6.00752e-07,
1.01823e-08,0.45,-7.33041e-07,
1.01833e-08,0.45,-5.97183e-07,
1.01843e-08,0.45,-7.35959e-07,
1.01853e-08,0.45,-6.00882e-07,
1.01863e-08,0.45,-7.34039e-07,
1.01873e-08,0.45,-5.97687e-07,
1.01883e-08,0.45,-7.35589e-07,
1.01893e-08,0.45,-5.98734e-07,
1.01903e-08,0.45,-7.34593e-07,
1.01913e-08,0.45,-5.9788e-07,
1.01923e-08,0.45,-7.36063e-07,
1.01933e-08,0.45,-5.97373e-07,
1.01943e-08,0.45,-7.35057e-07,
1.01953e-08,0.45,-5.96264e-07,
1.01963e-08,0.45,-7.3485e-07,
1.01973e-08,0.45,-5.98601e-07,
1.01983e-08,0.45,-7.34656e-07,
1.01993e-08,0.45,-5.98642e-07,
1.02003e-08,0.45,-7.33467e-07,
1.02013e-08,0.45,-5.98299e-07,
1.02023e-08,0.45,-7.32867e-07,
1.02033e-08,0.45,-5.95717e-07,
1.02043e-08,0.45,-7.35858e-07,
1.02053e-08,0.45,-5.96107e-07,
1.02063e-08,0.45,-7.34827e-07,
1.02073e-08,0.45,-5.95231e-07,
1.02083e-08,0.45,-7.35379e-07,
1.02093e-08,0.45,-5.95396e-07,
1.02103e-08,0.45,-7.34039e-07,
1.02113e-08,0.45,-5.95381e-07,
1.02123e-08,0.45,-7.35072e-07,
1.02133e-08,0.45,-5.96273e-07,
1.02143e-08,0.45,-7.32779e-07,
1.02153e-08,0.45,-6.02574e-07,
1.02163e-08,0.45,-7.4032e-07,
1.02173e-08,0.45,-5.96627e-07,
1.02183e-08,0.45,-7.3302e-07,
1.02193e-08,0.45,-6.02339e-07,
1.02203e-08,0.45,-7.3567e-07,
1.02213e-08,0.45,-5.966e-07,
1.02223e-08,0.45,-7.32852e-07,
1.02233e-08,0.45,-5.94036e-07,
1.02243e-08,0.45,-7.39324e-07,
1.02253e-08,0.45,-5.96102e-07,
1.02263e-08,0.45,-7.36123e-07,
1.02273e-08,0.45,-5.93993e-07,
1.02283e-08,0.45,-7.31661e-07,
1.02293e-08,0.45,-6.01782e-07,
1.02303e-08,0.45,-7.4011e-07,
1.02313e-08,0.45,-5.97522e-07,
1.02323e-08,0.45,-7.32439e-07,
1.02333e-08,0.45,-6.01361e-07,
1.02343e-08,0.45,-7.35843e-07,
1.02353e-08,0.45,-5.99344e-07,
1.02363e-08,0.45,-7.29777e-07,
1.02373e-08,0.45,-6.0044e-07,
1.02383e-08,0.45,-7.31132e-07,
1.02393e-08,0.45,-5.9957e-07,
1.02403e-08,0.45,-7.30707e-07,
1.02413e-08,0.45,-6.00928e-07,
1.02423e-08,0.45,-7.32559e-07,
1.02433e-08,0.45,-5.98865e-07,
1.02443e-08,0.45,-7.32272e-07,
1.02453e-08,0.45,-5.99408e-07,
1.02463e-08,0.45,-7.33359e-07,
1.02473e-08,0.45,-5.97887e-07,
1.02483e-08,0.45,-7.33406e-07,
1.02493e-08,0.45,-5.98248e-07,
1.02503e-08,0.45,-7.34074e-07,
1.02513e-08,0.45,-5.977e-07,
1.02523e-08,0.45,-7.34265e-07,
1.02533e-08,0.45,-5.98378e-07,
1.02543e-08,0.45,-7.34645e-07,
1.02553e-08,0.45,-5.98541e-07,
1.02563e-08,0.45,-7.33833e-07,
1.02573e-08,0.45,-5.97833e-07,
1.02583e-08,0.45,-7.34586e-07,
1.02593e-08,0.45,-6.01576e-07,
1.02603e-08,0.45,-7.37536e-07,
1.02613e-08,0.45,-5.96085e-07,
1.02623e-08,0.45,-7.33911e-07,
1.02633e-08,0.45,-6.00186e-07,
1.02643e-08,0.45,-7.38303e-07,
1.02653e-08,0.45,-5.96687e-07,
1.02663e-08,0.45,-7.34072e-07,
1.02673e-08,0.45,-5.99031e-07,
1.02683e-08,0.45,-7.37607e-07,
1.02693e-08,0.45,-5.9634e-07,
1.02703e-08,0.45,-7.34131e-07,
1.02713e-08,0.45,-6.00588e-07,
1.02723e-08,0.45,-7.38383e-07,
1.02733e-08,0.45,-5.97125e-07,
1.02743e-08,0.45,-7.34774e-07,
