46:*******************************************,
DC Transfer Curves,
Thu Nov 10 10:37:55 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.22,0.5,0.988019,
0.221,0.5,0.987837,
0.222,0.5,0.987653,
0.223,0.5,0.987467,
0.224,0.5,0.987279,
0.225,0.5,0.987089,
0.226,0.5,0.986897,
0.227,0.5,0.986702,
0.228,0.5,0.986505,
0.229,0.5,0.986306,
0.23,0.5,0.986105,
0.231,0.5,0.985902,
0.232,0.5,0.985697,
0.233,0.5,0.985489,
0.234,0.5,0.985279,
0.235,0.5,0.985067,
0.236,0.5,0.984852,
0.237,0.5,0.984635,
0.238,0.5,0.984416,
0.239,0.5,0.984195,
0.24,0.5,0.983971,
0.241,0.5,0.983745,
0.242,0.5,0.983517,
0.243,0.5,0.983286,
0.244,0.5,0.983053,
0.245,0.5,0.982818,
0.246,0.5,0.98258,
0.247,0.5,0.982339,
0.248,0.5,0.982096,
0.249,0.5,0.981851,
0.25,0.5,0.981604,
0.251,0.5,0.981353,
0.252,0.5,0.981101,
0.253,0.5,0.980845,
0.254,0.5,0.980588,
0.255,0.5,0.980328,
0.256,0.5,0.980065,
0.257,0.5,0.979799,
0.258,0.5,0.979531,
0.259,0.5,0.979261,
0.26,0.5,0.978988,
0.261,0.5,0.978712,
0.262,0.5,0.978434,
0.263,0.5,0.978152,
0.264,0.5,0.977869,
0.265,0.5,0.977582,
0.266,0.5,0.977293,
0.267,0.5,0.977001,
0.268,0.5,0.976706,
0.269,0.5,0.976409,
0.27,0.5,0.976109,
0.271,0.5,0.975806,
0.272,0.5,0.9755,
0.273,0.5,0.975191,
0.274,0.5,0.97488,
0.275,0.5,0.974565,
0.276,0.5,0.974248,
0.277,0.5,0.973928,
0.278,0.5,0.973604,
0.279,0.5,0.973278,
0.28,0.5,0.972949,
0.281,0.5,0.972617,
0.282,0.5,0.972282,
0.283,0.5,0.971944,
0.284,0.5,0.971603,
0.285,0.5,0.971258,
0.286,0.5,0.970911,
0.287,0.5,0.97056,
0.288,0.5,0.970207,
0.289,0.5,0.96985,
