14:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:11:44 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.22,0.5,0.987799,
0.221,0.5,0.987609,
0.222,0.5,0.987416,
0.223,0.5,0.987221,
0.224,0.5,0.987024,
0.225,0.5,0.986825,
0.226,0.5,0.986623,
0.227,0.5,0.986419,
0.228,0.5,0.986213,
0.229,0.5,0.986005,
0.23,0.5,0.985794,
0.231,0.5,0.985581,
0.232,0.5,0.985366,
0.233,0.5,0.985149,
0.234,0.5,0.984929,
0.235,0.5,0.984707,
0.236,0.5,0.984482,
0.237,0.5,0.984255,
0.238,0.5,0.984026,
0.239,0.5,0.983794,
0.24,0.5,0.98356,
0.241,0.5,0.983323,
0.242,0.5,0.983085,
0.243,0.5,0.982843,
0.244,0.5,0.982599,
0.245,0.5,0.982353,
0.246,0.5,0.982104,
0.247,0.5,0.981853,
0.248,0.5,0.981599,
0.249,0.5,0.981343,
0.25,0.5,0.981084,
0.251,0.5,0.980822,
0.252,0.5,0.980558,
0.253,0.5,0.980292,
0.254,0.5,0.980022,
0.255,0.5,0.97975,
0.256,0.5,0.979476,
0.257,0.5,0.979199,
0.258,0.5,0.978919,
0.259,0.5,0.978636,
0.26,0.5,0.978351,
0.261,0.5,0.978063,
0.262,0.5,0.977773,
0.263,0.5,0.977479,
0.264,0.5,0.977183,
0.265,0.5,0.976884,
0.266,0.5,0.976583,
0.267,0.5,0.976278,
0.268,0.5,0.975971,
0.269,0.5,0.97566,
0.27,0.5,0.975347,
0.271,0.5,0.975031,
0.272,0.5,0.974712,
0.273,0.5,0.97439,
0.274,0.5,0.974066,
0.275,0.5,0.973738,
0.276,0.5,0.973407,
0.277,0.5,0.973073,
0.278,0.5,0.972736,
0.279,0.5,0.972397,
0.28,0.5,0.972054,
0.281,0.5,0.971707,
0.282,0.5,0.971358,
0.283,0.5,0.971006,
0.284,0.5,0.97065,
0.285,0.5,0.970292,
0.286,0.5,0.96993,
0.287,0.5,0.969564,
0.288,0.5,0.969196,
0.289,0.5,0.968824,
0.29,0.5,0.968449,
0.291,0.5,0.968071,
0.292,0.5,0.967689,
0.293,0.5,0.967303,
0.294,0.5,0.966915,
0.295,0.5,0.966523,
0.296,0.5,0.966127,
0.297,0.5,0.965728,
0.298,0.5,0.965325,
0.299,0.5,0.964918,
0.3,0.5,0.964508,
0.301,0.5,0.964095,
0.302,0.5,0.963677,
0.303,0.5,0.963256,
0.304,0.5,0.962831,
0.305,0.5,0.962402,
0.306,0.5,0.96197,
0.307,0.5,0.961533,
0.308,0.5,0.961093,
0.309,0.5,0.960649,
0.31,0.5,0.9602,
0.311,0.5,0.959748,
0.312,0.5,0.959291,
0.313,0.5,0.958831,
0.314,0.5,0.958366,
0.315,0.5,0.957897,
0.316,0.5,0.957424,
0.317,0.5,0.956946,
0.318,0.5,0.956464,
0.319,0.5,0.955978,
0.32,0.5,0.955487,
0.321,0.5,0.954991,
0.322,0.5,0.954491,
0.323,0.5,0.953987,
0.324,0.5,0.953478,
0.325,0.5,0.952963,
0.326,0.5,0.952445,
0.327,0.5,0.951921,
0.328,0.5,0.951392,
0.329,0.5,0.950859,
0.33,0.5,0.95032,
0.331,0.5,0.949776,
0.332,0.5,0.949227,
0.333,0.5,0.948673,
0.334,0.5,0.948114,
0.335,0.5,0.947549,
0.336,0.5,0.946978,
0.337,0.5,0.946402,
0.338,0.5,0.945821,
0.339,0.5,0.945234,
0.34,0.5,0.94464,
0.341,0.5,0.944042,
0.342,0.5,0.943437,
0.343,0.5,0.942826,
0.344,0.5,0.942209,
0.345,0.5,0.941585,
0.346,0.5,0.940956,
0.347,0.5,0.94032,
0.348,0.5,0.939677,
0.349,0.5,0.939028,
0.35,0.5,0.938372,
0.351,0.5,0.937709,
0.352,0.5,0.937039,
0.353,0.5,0.936362,
0.354,0.5,0.935678,
0.355,0.5,0.934987,
0.356,0.5,0.934288,
0.357,0.5,0.933581,
0.358,0.5,0.932867,
0.359,0.5,0.932145,
0.36,0.5,0.931415,
0.361,0.5,0.930677,
0.362,0.5,0.92993,
0.363,0.5,0.929176,
0.364,0.5,0.928412,
0.365,0.5,0.92764,
0.366,0.5,0.926859,
0.367,0.5,0.926068,
0.368,0.5,0.925269,
0.369,0.5,0.92446,
0.37,0.5,0.923641,
0.371,0.5,0.922812,
0.372,0.5,0.921973,
0.373,0.5,0.921124,
0.374,0.5,0.920265,
0.375,0.5,0.919394,
0.376,0.5,0.918513,
0.377,0.5,0.917621,
0.378,0.5,0.916717,
0.379,0.5,0.915801,
0.38,0.5,0.914873,
0.381,0.5,0.913933,
0.382,0.5,0.91298,
0.383,0.5,0.912015,
0.384,0.5,0.911036,
0.385,0.5,0.910044,
0.386,0.5,0.909038,
0.387,0.5,0.908017,
0.388,0.5,0.906982,
0.389,0.5,0.905932,
0.39,0.5,0.904867,
0.391,0.5,0.903786,
0.392,0.5,0.902688,
0.393,0.5,0.901574,
0.394,0.5,0.900443,
0.395,0.5,0.899294,
0.396,0.5,0.898127,
0.397,0.5,0.896942,
0.398,0.5,0.895737,
0.399,0.5,0.894512,
0.4,0.5,0.893267,
0.401,0.5,0.892001,
0.402,0.5,0.890712,
0.403,0.5,0.889402,
0.404,0.5,0.888068,
0.405,0.5,0.88671,
0.406,0.5,0.885327,
0.407,0.5,0.883919,
0.408,0.5,0.882483,
0.409,0.5,0.88102,
0.41,0.5,0.879529,
0.411,0.5,0.878008,
0.412,0.5,0.876455,
0.413,0.5,0.874871,
0.414,0.5,0.873254,
0.415,0.5,0.871601,
0.416,0.5,0.869913,
0.417,0.5,0.868187,
0.418,0.5,0.866421,
0.419,0.5,0.864614,
0.42,0.5,0.862765,
0.421,0.5,0.860871,
0.422,0.5,0.85893,
0.423,0.5,0.85694,
0.424,0.5,0.854898,
0.425,0.5,0.852803,
0.426,0.5,0.850651,
0.427,0.5,0.848439,
0.428,0.5,0.846166,
0.429,0.5,0.843827,
0.43,0.5,0.841419,
0.431,0.5,0.838939,
0.432,0.5,0.836382,
0.433,0.5,0.833746,
0.434,0.5,0.831026,
0.435,0.5,0.828218,
0.436,0.5,0.825318,
0.437,0.5,0.822321,
0.438,0.5,0.819222,
0.439,0.5,0.816019,
0.44,0.5,0.812705,
0.441,0.5,0.809279,
0.442,0.5,0.805735,
0.443,0.5,0.80207,
0.444,0.5,0.798282,
0.445,0.5,0.79437,
0.446,0.5,0.79033,
0.447,0.5,0.786164,
0.448,0.5,0.781871,
0.449,0.5,0.777454,
0.45,0.5,0.772912,
0.451,0.5,0.768251,
0.452,0.5,0.763472,
0.453,0.5,0.758581,
0.454,0.5,0.753582,
0.455,0.5,0.748478,
0.456,0.5,0.743277,
0.457,0.5,0.737981,
0.458,0.5,0.732597,
0.459,0.5,0.72713,
0.46,0.5,0.721583,
0.461,0.5,0.715963,
0.462,0.5,0.710272,
0.463,0.5,0.704517,
0.464,0.5,0.6987,
0.465,0.5,0.692825,
0.466,0.5,0.686897,
0.467,0.5,0.680918,
0.468,0.5,0.674892,
0.469,0.5,0.668821,
0.47,0.5,0.662709,
0.471,0.5,0.656558,
0.472,0.5,0.650372,
0.473,0.5,0.644151,
0.474,0.5,0.6379,
0.475,0.5,0.631619,
0.476,0.5,0.625311,
0.477,0.5,0.618978,
0.478,0.5,0.612622,
0.479,0.5,0.606245,
0.48,0.5,0.599848,
0.481,0.5,0.593433,
0.482,0.5,0.587003,
0.483,0.5,0.580557,
0.484,0.5,0.574099,
0.485,0.5,0.567629,
0.486,0.5,0.561149,
0.487,0.5,0.55466,
0.488,0.5,0.548164,
0.489,0.5,0.541662,
0.49,0.5,0.535155,
0.491,0.5,0.528646,
0.492,0.5,0.522134,
0.493,0.5,0.515622,
0.494,0.5,0.50911,
0.495,0.5,0.502601,
0.496,0.5,0.496095,
0.497,0.5,0.489593,
0.498,0.5,0.483098,
0.499,0.5,0.476609,
0.5,0.5,0.47013,
0.501,0.5,0.46366,
0.502,0.5,0.457202,
0.503,0.5,0.450756,
0.504,0.5,0.444325,
0.505,0.5,0.43791,
0.506,0.5,0.431511,
0.507,0.5,0.425132,
0.508,0.5,0.418773,
0.509,0.5,0.412436,
0.51,0.5,0.406122,
0.511,0.5,0.399834,
0.512,0.5,0.393574,
0.513,0.5,0.387342,
0.514,0.5,0.381141,
0.515,0.5,0.374973,
0.516,0.5,0.36884,
0.517,0.5,0.362744,
0.518,0.5,0.356687,
0.519,0.5,0.350672,
0.52,0.5,0.3447,
0.521,0.5,0.338775,
0.522,0.5,0.332898,
0.523,0.5,0.327072,
0.524,0.5,0.3213,
0.525,0.5,0.315585,
0.526,0.5,0.309928,
0.527,0.5,0.304333,
0.528,0.5,0.298803,
0.529,0.5,0.293341,
0.53,0.5,0.287949,
0.531,0.5,0.28263,
0.532,0.5,0.277388,
0.533,0.5,0.272225,
0.534,0.5,0.267143,
0.535,0.5,0.262147,
0.536,0.5,0.257238,
0.537,0.5,0.252419,
0.538,0.5,0.247692,
0.539,0.5,0.243059,
0.54,0.5,0.238522,
0.541,0.5,0.234083,
0.542,0.5,0.229743,
0.543,0.5,0.225502,
0.544,0.5,0.22136,
0.545,0.5,0.217319,
0.546,0.5,0.213377,
0.547,0.5,0.209533,
0.548,0.5,0.205785,
0.549,0.5,0.202134,
0.55,0.5,0.198576,
0.551,0.5,0.195109,
0.552,0.5,0.191732,
0.553,0.5,0.188441,
0.554,0.5,0.185234,
0.555,0.5,0.182107,
0.556,0.5,0.179059,
0.557,0.5,0.176087,
0.558,0.5,0.173188,
0.559,0.5,0.17036,
0.56,0.5,0.167598,
0.561,0.5,0.164903,
0.562,0.5,0.162269,
0.563,0.5,0.159697,
0.564,0.5,0.157182,
0.565,0.5,0.154724,
0.566,0.5,0.152319,
0.567,0.5,0.149967,
0.568,0.5,0.147665,
0.569,0.5,0.145411,
0.57,0.5,0.143203,
0.571,0.5,0.141041,
0.572,0.5,0.138922,
0.573,0.5,0.136845,
0.574,0.5,0.134809,
0.575,0.5,0.132811,
0.576,0.5,0.130852,
0.577,0.5,0.12893,
0.578,0.5,0.127043,
0.579,0.5,0.125191,
0.58,0.5,0.123372,
0.581,0.5,0.121585,
0.582,0.5,0.11983,
0.583,0.5,0.118105,
0.584,0.5,0.116411,
0.585,0.5,0.114745,
0.586,0.5,0.113106,
0.587,0.5,0.111496,
0.588,0.5,0.109911,
0.589,0.5,0.108353,
0.59,0.5,0.10682,
0.591,0.5,0.105311,
0.592,0.5,0.103826,
0.593,0.5,0.102364,
0.594,0.5,0.100925,
0.595,0.5,0.0995076,
0.596,0.5,0.0981122,
0.597,0.5,0.0967378,
0.598,0.5,0.095384,
0.599,0.5,0.0940502,
0.6,0.5,0.0927363,
0.601,0.5,0.0914414,
0.602,0.5,0.0901653,
