12:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:10:43 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0,0.5,0.999706,
0.001,0.5,0.999701,
0.002,0.5,0.999695,
0.003,0.5,0.99969,
0.004,0.5,0.999684,
0.005,0.5,0.999678,
0.006,0.5,0.999672,
0.007,0.5,0.999666,
0.008,0.5,0.99966,
0.009,0.5,0.999654,
0.01,0.5,0.999648,
0.011,0.5,0.999642,
0.012,0.5,0.999635,
0.013,0.5,0.999629,
0.014,0.5,0.999622,
0.015,0.5,0.999615,
0.016,0.5,0.999608,
0.017,0.5,0.999601,
0.018,0.5,0.999594,
0.019,0.5,0.999586,
0.02,0.5,0.999579,
0.021,0.5,0.999571,
0.022,0.5,0.999564,
0.023,0.5,0.999556,
0.024,0.5,0.999548,
0.025,0.5,0.99954,
0.026,0.5,0.999531,
0.027,0.5,0.999523,
0.028,0.5,0.999514,
0.029,0.5,0.999506,
0.03,0.5,0.999497,
0.031,0.5,0.999488,
0.032,0.5,0.999479,
0.033,0.5,0.999469,
0.034,0.5,0.99946,
0.035,0.5,0.99945,
0.036,0.5,0.99944,
0.037,0.5,0.99943,
0.038,0.5,0.99942,
0.039,0.5,0.99941,
0.04,0.5,0.999399,
0.041,0.5,0.999388,
0.042,0.5,0.999377,
0.043,0.5,0.999366,
0.044,0.5,0.999355,
0.045,0.5,0.999343,
0.046,0.5,0.999332,
0.047,0.5,0.99932,
0.048,0.5,0.999308,
0.049,0.5,0.999295,
0.05,0.5,0.999283,
0.051,0.5,0.99927,
0.052,0.5,0.999257,
0.053,0.5,0.999244,
0.054,0.5,0.999231,
0.055,0.5,0.999217,
0.056,0.5,0.999203,
0.057,0.5,0.999189,
0.058,0.5,0.999174,
0.059,0.5,0.99916,
0.06,0.5,0.999145,
0.061,0.5,0.99913,
0.062,0.5,0.999114,
0.063,0.5,0.999099,
0.064,0.5,0.999083,
0.065,0.5,0.999067,
0.066,0.5,0.99905,
0.067,0.5,0.999033,
0.068,0.5,0.999016,
0.069,0.5,0.998999,
0.07,0.5,0.998981,
0.071,0.5,0.998964,
0.072,0.5,0.998945,
0.073,0.5,0.998927,
0.074,0.5,0.998908,
0.075,0.5,0.998889,
0.076,0.5,0.998869,
0.077,0.5,0.998849,
0.078,0.5,0.998829,
0.079,0.5,0.998809,
0.08,0.5,0.998788,
0.081,0.5,0.998767,
0.082,0.5,0.998745,
0.083,0.5,0.998723,
0.084,0.5,0.998701,
0.085,0.5,0.998678,
0.086,0.5,0.998655,
0.087,0.5,0.998632,
0.088,0.5,0.998608,
0.089,0.5,0.998584,
0.09,0.5,0.998559,
0.091,0.5,0.998534,
0.092,0.5,0.998509,
0.093,0.5,0.998483,
0.094,0.5,0.998457,
0.095,0.5,0.99843,
0.096,0.5,0.998403,
0.097,0.5,0.998375,
0.098,0.5,0.998347,
0.099,0.5,0.998319,
0.1,0.5,0.99829,
0.101,0.5,0.998261,
0.102,0.5,0.998231,
0.103,0.5,0.9982,
0.104,0.5,0.998169,
0.105,0.5,0.998138,
0.106,0.5,0.998106,
0.107,0.5,0.998074,
0.108,0.5,0.998041,
0.109,0.5,0.998007,
0.11,0.5,0.997973,
0.111,0.5,0.997939,
0.112,0.5,0.997904,
0.113,0.5,0.997868,
0.114,0.5,0.997832,
0.115,0.5,0.997795,
0.116,0.5,0.997758,
0.117,0.5,0.99772,
0.118,0.5,0.997681,
0.119,0.5,0.997642,
0.12,0.5,0.997602,
0.121,0.5,0.997562,
0.122,0.5,0.997521,
0.123,0.5,0.997479,
0.124,0.5,0.997437,
0.125,0.5,0.997394,
