7:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:06:41 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.22,0.5,0.985961,
0.221,0.5,0.985759,
0.222,0.5,0.985555,
0.223,0.5,0.98535,
0.224,0.5,0.985142,
0.225,0.5,0.984931,
0.226,0.5,0.984719,
0.227,0.5,0.984505,
0.228,0.5,0.984288,
0.229,0.5,0.984069,
0.23,0.5,0.983848,
0.231,0.5,0.983625,
0.232,0.5,0.9834,
0.233,0.5,0.983172,
0.234,0.5,0.982942,
0.235,0.5,0.98271,
0.236,0.5,0.982476,
0.237,0.5,0.982239,
0.238,0.5,0.982001,
0.239,0.5,0.981759,
0.24,0.5,0.981516,
0.241,0.5,0.98127,
0.242,0.5,0.981022,
0.243,0.5,0.980772,
0.244,0.5,0.980519,
0.245,0.5,0.980264,
0.246,0.5,0.980006,
0.247,0.5,0.979746,
0.248,0.5,0.979484,
0.249,0.5,0.979219,
0.25,0.5,0.978952,
0.251,0.5,0.978683,
0.252,0.5,0.978411,
0.253,0.5,0.978136,
0.254,0.5,0.977859,
0.255,0.5,0.97758,
0.256,0.5,0.977298,
0.257,0.5,0.977013,
0.258,0.5,0.976726,
0.259,0.5,0.976437,
0.26,0.5,0.976145,
0.261,0.5,0.97585,
0.262,0.5,0.975553,
0.263,0.5,0.975253,
0.264,0.5,0.97495,
0.265,0.5,0.974645,
0.266,0.5,0.974337,
0.267,0.5,0.974027,
0.268,0.5,0.973714,
0.269,0.5,0.973398,
0.27,0.5,0.973079,
0.271,0.5,0.972758,
0.272,0.5,0.972434,
0.273,0.5,0.972107,
0.274,0.5,0.971778,
0.275,0.5,0.971445,
0.276,0.5,0.97111,
0.277,0.5,0.970772,
0.278,0.5,0.970431,
0.279,0.5,0.970087,
0.28,0.5,0.96974,
0.281,0.5,0.96939,
0.282,0.5,0.969038,
0.283,0.5,0.968682,
0.284,0.5,0.968324,
0.285,0.5,0.967962,
0.286,0.5,0.967597,
0.287,0.5,0.967229,
0.288,0.5,0.966859,
0.289,0.5,0.966485,
0.29,0.5,0.966108,
0.291,0.5,0.965727,
0.292,0.5,0.965344,
0.293,0.5,0.964957,
0.294,0.5,0.964567,
0.295,0.5,0.964174,
0.296,0.5,0.963778,
0.297,0.5,0.963378,
0.298,0.5,0.962975,
0.299,0.5,0.962568,
0.3,0.5,0.962158,
0.301,0.5,0.961745,
0.302,0.5,0.961328,
0.303,0.5,0.960908,
0.304,0.5,0.960484,
0.305,0.5,0.960056,
0.306,0.5,0.959625,
0.307,0.5,0.95919,
0.308,0.5,0.958752,
0.309,0.5,0.95831,
0.31,0.5,0.957864,
0.311,0.5,0.957414,
0.312,0.5,0.95696,
0.313,0.5,0.956503,
0.314,0.5,0.956042,
0.315,0.5,0.955576,
0.316,0.5,0.955107,
0.317,0.5,0.954633,
0.318,0.5,0.954156,
0.319,0.5,0.953674,
0.32,0.5,0.953189,
0.321,0.5,0.952699,
0.322,0.5,0.952204,
0.323,0.5,0.951706,
0.324,0.5,0.951202,
0.325,0.5,0.950695,
0.326,0.5,0.950183,
0.327,0.5,0.949666,
0.328,0.5,0.949145,
0.329,0.5,0.94862,
0.33,0.5,0.948089,
0.331,0.5,0.947554,
0.332,0.5,0.947014,
0.333,0.5,0.946468,
0.334,0.5,0.945918,
0.335,0.5,0.945363,
0.336,0.5,0.944803,
0.337,0.5,0.944238,
0.338,0.5,0.943667,
0.339,0.5,0.943091,
0.34,0.5,0.94251,
0.341,0.5,0.941923,
0.342,0.5,0.941331,
0.343,0.5,0.940733,
0.344,0.5,0.940129,
0.345,0.5,0.939519,
0.346,0.5,0.938904,
0.347,0.5,0.938283,
0.348,0.5,0.937655,
0.349,0.5,0.937021,
0.35,0.5,0.936381,
0.351,0.5,0.935735,
0.352,0.5,0.935082,
0.353,0.5,0.934423,
0.354,0.5,0.933757,
0.355,0.5,0.933084,
0.356,0.5,0.932404,
0.357,0.5,0.931717,
0.358,0.5,0.931023,
0.359,0.5,0.930322,
0.36,0.5,0.929613,
0.361,0.5,0.928897,
0.362,0.5,0.928173,
0.363,0.5,0.927441,
0.364,0.5,0.926702,
0.365,0.5,0.925954,
0.366,0.5,0.925198,
0.367,0.5,0.924433,
0.368,0.5,0.92366,
0.369,0.5,0.922878,
0.37,0.5,0.922088,
0.371,0.5,0.921288,
0.372,0.5,0.920479,
0.373,0.5,0.91966,
0.374,0.5,0.918832,
0.375,0.5,0.917993,
0.376,0.5,0.917145,
0.377,0.5,0.916286,
0.378,0.5,0.915417,
0.379,0.5,0.914537,
0.38,0.5,0.913646,
0.381,0.5,0.912744,
0.382,0.5,0.91183,
0.383,0.5,0.910905,
0.384,0.5,0.909967,
0.385,0.5,0.909017,
0.386,0.5,0.908055,
0.387,0.5,0.907079,
0.388,0.5,0.90609,
0.389,0.5,0.905088,
0.39,0.5,0.904071,
0.391,0.5,0.90304,
0.392,0.5,0.901995,
0.393,0.5,0.900934,
0.394,0.5,0.899858,
0.395,0.5,0.898766,
0.396,0.5,0.897658,
0.397,0.5,0.896533,
0.398,0.5,0.89539,
0.399,0.5,0.89423,
0.4,0.5,0.893051,
0.401,0.5,0.891853,
0.402,0.5,0.890636,
0.403,0.5,0.889399,
0.404,0.5,0.888141,
0.405,0.5,0.886861,
0.406,0.5,0.88556,
0.407,0.5,0.884236,
0.408,0.5,0.882888,
0.409,0.5,0.881516,
0.41,0.5,0.880118,
0.411,0.5,0.878694,
0.412,0.5,0.877244,
0.413,0.5,0.875765,
0.414,0.5,0.874257,
0.415,0.5,0.872719,
0.416,0.5,0.87115,
0.417,0.5,0.869548,
0.418,0.5,0.867912,
0.419,0.5,0.866241,
0.42,0.5,0.864533,
0.421,0.5,0.862786,
0.422,0.5,0.861,
0.423,0.5,0.859172,
0.424,0.5,0.857301,
0.425,0.5,0.855384,
0.426,0.5,0.85342,
0.427,0.5,0.851406,
0.428,0.5,0.84934,
0.429,0.5,0.84722,
0.43,0.5,0.845043,
0.431,0.5,0.842806,
0.432,0.5,0.840506,
0.433,0.5,0.838141,
0.434,0.5,0.835708,
0.435,0.5,0.833202,
0.436,0.5,0.83062,
0.437,0.5,0.82796,
0.438,0.5,0.825217,
0.439,0.5,0.822388,
0.44,0.5,0.819469,
0.441,0.5,0.816457,
0.442,0.5,0.813347,
0.443,0.5,0.810136,
0.444,0.5,0.806822,
0.445,0.5,0.8034,
0.446,0.5,0.799869,
0.447,0.5,0.796226,
0.448,0.5,0.79247,
0.449,0.5,0.788599,
0.45,0.5,0.784613,
0.451,0.5,0.780512,
0.452,0.5,0.776296,
0.453,0.5,0.771968,
0.454,0.5,0.767528,
0.455,0.5,0.76298,
0.456,0.5,0.758326,
0.457,0.5,0.75357,
0.458,0.5,0.748715,
0.459,0.5,0.743764,
0.46,0.5,0.738722,
0.461,0.5,0.733593,
0.462,0.5,0.728381,
0.463,0.5,0.723089,
0.464,0.5,0.717722,
0.465,0.5,0.712283,
0.466,0.5,0.706777,
0.467,0.5,0.701206,
0.468,0.5,0.695575,
0.469,0.5,0.689886,
0.47,0.5,0.684143,
0.471,0.5,0.678349,
0.472,0.5,0.672506,
0.473,0.5,0.666619,
0.474,0.5,0.660688,
0.475,0.5,0.654718,
0.476,0.5,0.64871,
0.477,0.5,0.642666,
0.478,0.5,0.63659,
0.479,0.5,0.630482,
0.48,0.5,0.624346,
0.481,0.5,0.618183,
0.482,0.5,0.611994,
0.483,0.5,0.605783,
0.484,0.5,0.59955,
0.485,0.5,0.593298,
0.486,0.5,0.587027,
0.487,0.5,0.58074,
0.488,0.5,0.574438,
0.489,0.5,0.568123,
0.49,0.5,0.561796,
0.491,0.5,0.555458,
0.492,0.5,0.549111,
0.493,0.5,0.542756,
0.494,0.5,0.536395,
0.495,0.5,0.530029,
0.496,0.5,0.52366,
0.497,0.5,0.517288,
0.498,0.5,0.510915,
0.499,0.5,0.504542,
0.5,0.5,0.498172,
0.501,0.5,0.491803,
0.502,0.5,0.48544,
0.503,0.5,0.479081,
0.504,0.5,0.47273,
0.505,0.5,0.466387,
0.506,0.5,0.460054,
0.507,0.5,0.453732,
0.508,0.5,0.447423,
0.509,0.5,0.441127,
0.51,0.5,0.434848,
0.511,0.5,0.428585,
0.512,0.5,0.422341,
0.513,0.5,0.416118,
0.514,0.5,0.409917,
0.515,0.5,0.40374,
0.516,0.5,0.397588,
0.517,0.5,0.391464,
0.518,0.5,0.385369,
0.519,0.5,0.379306,
0.52,0.5,0.373277,
0.521,0.5,0.367283,
0.522,0.5,0.361327,
0.523,0.5,0.355411,
0.524,0.5,0.349537,
0.525,0.5,0.343709,
0.526,0.5,0.337928,
0.527,0.5,0.332196,
0.528,0.5,0.326517,
0.529,0.5,0.320894,
0.53,0.5,0.315328,
0.531,0.5,0.309822,
0.532,0.5,0.30438,
0.533,0.5,0.299004,
0.534,0.5,0.293697,
0.535,0.5,0.288462,
0.536,0.5,0.2833,
0.537,0.5,0.278216,
0.538,0.5,0.273212,
0.539,0.5,0.26829,
0.54,0.5,0.263452,
0.541,0.5,0.2587,
0.542,0.5,0.254038,
0.543,0.5,0.249465,
0.544,0.5,0.244984,
0.545,0.5,0.240596,
0.546,0.5,0.236302,
0.547,0.5,0.232103,
0.548,0.5,0.227997,
0.549,0.5,0.223987,
0.55,0.5,0.22007,
0.551,0.5,0.216247,
0.552,0.5,0.212515,
0.553,0.5,0.208875,
0.554,0.5,0.205323,
0.555,0.5,0.201859,
0.556,0.5,0.19848,
0.557,0.5,0.195184,
0.558,0.5,0.191969,
0.559,0.5,0.188832,
0.56,0.5,0.185771,
0.561,0.5,0.182784,
0.562,0.5,0.179867,
0.563,0.5,0.177019,
0.564,0.5,0.174238,
0.565,0.5,0.171521,
0.566,0.5,0.168865,
0.567,0.5,0.166268,
0.568,0.5,0.163729,
0.569,0.5,0.161246,
0.57,0.5,0.158816,
0.571,0.5,0.156437,
0.572,0.5,0.154108,
0.573,0.5,0.151828,
0.574,0.5,0.149593,
0.575,0.5,0.147404,
0.576,0.5,0.145257,
0.577,0.5,0.143153,
0.578,0.5,0.141089,
0.579,0.5,0.139064,
0.58,0.5,0.137077,
0.581,0.5,0.135127,
0.582,0.5,0.133213,
0.583,0.5,0.131333,
0.584,0.5,0.129487,
0.585,0.5,0.127673,
0.586,0.5,0.12589,
0.587,0.5,0.124139,
0.588,0.5,0.122416,
0.589,0.5,0.120723,
0.59,0.5,0.119058,
0.591,0.5,0.117421,
0.592,0.5,0.11581,
0.593,0.5,0.114225,
0.594,0.5,0.112665,
0.595,0.5,0.11113,
0.596,0.5,0.109618,
0.597,0.5,0.108131,
0.598,0.5,0.106666,
0.599,0.5,0.105223,
0.6,0.5,0.103801,
0.601,0.5,0.102402,
0.602,0.5,0.101022,
0.603,0.5,0.0996631,
0.604,0.5,0.0983238,
0.605,0.5,0.0970038,
0.606,0.5,0.0957026,
0.607,0.5,0.0944199,
0.608,0.5,0.0931552,
0.609,0.5,0.0919083,
0.61,0.5,0.0906786,
0.611,0.5,0.0894659,
0.612,0.5,0.0882697,
0.613,0.5,0.0870898,
0.614,0.5,0.0859258,
0.615,0.5,0.0847775,
0.616,0.5,0.0836444,
0.617,0.5,0.0825263,
0.618,0.5,0.081423,
0.619,0.5,0.0803341,
0.62,0.5,0.0792594,
0.621,0.5,0.0781986,
0.622,0.5,0.0771514,
0.623,0.5,0.0761177,
0.624,0.5,0.0750971,
0.625,0.5,0.0740894,
0.626,0.5,0.0730945,
0.627,0.5,0.072112,
0.628,0.5,0.0711418,
0.629,0.5,0.0701837,
0.63,0.5,0.0692375,
0.631,0.5,0.0683029,
0.632,0.5,0.0673798,
0.633,0.5,0.066468,
0.634,0.5,0.0655673,
0.635,0.5,0.0646776,
0.636,0.5,0.0637987,
0.637,0.5,0.0629303,
0.638,0.5,0.0620724,
0.639,0.5,0.0612248,
0.64,0.5,0.0603873,
0.641,0.5,0.0595598,
0.642,0.5,0.0587421,
0.643,0.5,0.0579342,
0.644,0.5,0.0571358,
0.645,0.5,0.0563468,
0.646,0.5,0.0555671,
0.647,0.5,0.0547965,
0.648,0.5,0.054035,
0.649,0.5,0.0532824,
0.65,0.5,0.0525387,
0.651,0.5,0.0518036,
0.652,0.5,0.051077,
0.653,0.5,0.0503589,
0.654,0.5,0.0496492,
0.655,0.5,0.0489476,
0.656,0.5,0.0482543,
0.657,0.5,0.0475689,
0.658,0.5,0.0468915,
0.659,0.5,0.046222,
0.66,0.5,0.0455601,
0.661,0.5,0.044906,
0.662,0.5,0.0442594,
0.663,0.5,0.0436202,
0.664,0.5,0.0429885,
0.665,0.5,0.042364,
0.666,0.5,0.0417468,
0.667,0.5,0.0411367,
0.668,0.5,0.0405337,
0.669,0.5,0.0399376,
0.67,0.5,0.0393485,
0.671,0.5,0.0387662,
0.672,0.5,0.0381906,
0.673,0.5,0.0376217,
0.674,0.5,0.0370595,
0.675,0.5,0.0365038,
0.676,0.5,0.0359545,
0.677,0.5,0.0354117,
0.678,0.5,0.0348752,
0.679,0.5,0.034345,
0.68,0.5,0.033821,
0.681,0.5,0.0333032,
0.682,0.5,0.0327915,
0.683,0.5,0.0322858,
0.684,0.5,0.0317862,
0.685,0.5,0.0312924,
0.686,0.5,0.0308045,
0.687,0.5,0.0303224,
0.688,0.5,0.0298461,
0.689,0.5,0.0293755,
0.69,0.5,0.0289105,
0.691,0.5,0.0284511,
0.692,0.5,0.0279973,
0.693,0.5,0.027549,
0.694,0.5,0.0271061,
0.695,0.5,0.0266687,
0.696,0.5,0.0262366,
0.697,0.5,0.0258098,
0.698,0.5,0.0253882,
0.699,0.5,0.0249719,
0.7,0.5,0.0245607,
0.701,0.5,0.0241547,
0.702,0.5,0.0237537,
0.703,0.5,0.0233578,
0.704,0.5,0.0229669,
0.705,0.5,0.0225809,
0.706,0.5,0.0221999,
0.707,0.5,0.0218237,
0.708,0.5,0.0214523,
0.709,0.5,0.0210858,
0.71,0.5,0.0207239,
0.711,0.5,0.0203668,
0.712,0.5,0.0200143,
0.713,0.5,0.0196665,
0.714,0.5,0.0193232,
0.715,0.5,0.0189845,
0.716,0.5,0.0186504,
0.717,0.5,0.0183206,
