10:*******************************************,
DC Transfer Curves,
Thu Nov 10 09:08:57 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],v(ref) [V],v(out) [V],
0.22,0.5,0.969332,
0.221,0.5,0.968886,
0.222,0.5,0.968436,
0.223,0.5,0.967981,
0.224,0.5,0.967521,
0.225,0.5,0.967056,
0.226,0.5,0.966586,
0.227,0.5,0.966111,
0.228,0.5,0.965631,
0.229,0.5,0.965146,
0.23,0.5,0.964656,
0.231,0.5,0.964161,
0.232,0.5,0.96366,
0.233,0.5,0.963154,
0.234,0.5,0.962643,
0.235,0.5,0.962127,
0.236,0.5,0.961606,
0.237,0.5,0.961079,
0.238,0.5,0.960546,
0.239,0.5,0.960009,
0.24,0.5,0.959465,
0.241,0.5,0.958917,
0.242,0.5,0.958362,
0.243,0.5,0.957802,
0.244,0.5,0.957237,
0.245,0.5,0.956665,
0.246,0.5,0.956088,
0.247,0.5,0.955506,
0.248,0.5,0.954917,
0.249,0.5,0.954323,
0.25,0.5,0.953722,
0.251,0.5,0.953116,
0.252,0.5,0.952504,
0.253,0.5,0.951885,
0.254,0.5,0.951261,
0.255,0.5,0.95063,
0.256,0.5,0.949994,
0.257,0.5,0.949351,
0.258,0.5,0.948701,
0.259,0.5,0.948045,
0.26,0.5,0.947383,
0.261,0.5,0.946715,
0.262,0.5,0.94604,
0.263,0.5,0.945358,
0.264,0.5,0.944669,
0.265,0.5,0.943974,
0.266,0.5,0.943272,
0.267,0.5,0.942564,
0.268,0.5,0.941848,
0.269,0.5,0.941125,
0.27,0.5,0.940396,
0.271,0.5,0.939659,
0.272,0.5,0.938915,
0.273,0.5,0.938164,
0.274,0.5,0.937405,
0.275,0.5,0.936639,
0.276,0.5,0.935866,
0.277,0.5,0.935085,
0.278,0.5,0.934296,
0.279,0.5,0.9335,
0.28,0.5,0.932695,
0.281,0.5,0.931883,
0.282,0.5,0.931063,
0.283,0.5,0.930235,
0.284,0.5,0.929398,
0.285,0.5,0.928554,
0.286,0.5,0.927701,
0.287,0.5,0.926839,
0.288,0.5,0.925969,
0.289,0.5,0.92509,
0.29,0.5,0.924202,
0.291,0.5,0.923305,
0.292,0.5,0.9224,
0.293,0.5,0.921485,
0.294,0.5,0.920561,
0.295,0.5,0.919627,
0.296,0.5,0.918684,
0.297,0.5,0.917731,
0.298,0.5,0.916768,
0.299,0.5,0.915796,
0.3,0.5,0.914813,
0.301,0.5,0.91382,
