6:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:14:14 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.237,2.87845e-07,
0.238,2.88416e-07,
0.239,2.88415e-07,
0.24,2.88e-07,
0.241,2.873e-07,
0.242,2.86406e-07,
0.243,2.85378e-07,
0.244,2.84253e-07,
0.245,2.83057e-07,
0.246,2.81805e-07,
0.247,2.80507e-07,
0.248,2.79169e-07,
0.249,2.77794e-07,
0.25,2.76381e-07,
0.251,2.7493e-07,
0.252,2.73434e-07,
0.253,2.71885e-07,
0.254,2.70265e-07,
0.255,2.68549e-07,
0.256,2.66695e-07,
0.257,2.64634e-07,
0.258,2.62262e-07,
0.259,2.59449e-07,
0.26,2.56078e-07,
0.261,2.52109e-07,
0.262,2.47603e-07,
0.263,2.42678e-07,
0.264,2.3746e-07,
0.265,2.32052e-07,
0.266,2.26531e-07,
0.267,2.20954e-07,
0.268,2.15362e-07,
0.269,2.09785e-07,
0.27,2.04248e-07,
0.271,1.98767e-07,
0.272,1.93354e-07,
0.273,1.88021e-07,
0.274,1.82774e-07,
0.275,1.77619e-07,
0.276,1.7256e-07,
0.277,1.67602e-07,
0.278,1.62745e-07,
0.279,1.57993e-07,
0.28,1.53345e-07,
0.281,1.48803e-07,
0.282,1.44366e-07,
0.283,1.40034e-07,
0.284,1.35807e-07,
0.285,1.31684e-07,
0.286,1.27665e-07,
0.287,1.23747e-07,
0.288,1.1993e-07,
0.289,1.16212e-07,
0.29,1.12592e-07,
0.291,1.09068e-07,
0.292,1.0564e-07,
0.293,1.02304e-07,
0.294,9.90605e-08,
0.295,9.59062e-08,
0.296,9.28401e-08,
0.297,8.986e-08,
0.298,8.69645e-08,
0.299,8.41515e-08,
0.3,8.14195e-08,
0.301,7.87665e-08,
0.302,7.61909e-08,
0.303,7.36907e-08,
0.304,7.12643e-08,
0.305,6.89099e-08,
0.306,6.66258e-08,
0.307,6.44101e-08,
0.308,6.22615e-08,
0.309,6.01779e-08,
0.31,5.81579e-08,
0.311,5.61997e-08,
0.312,5.4302e-08,
0.313,5.24628e-08,
0.314,5.0681e-08,
0.315,4.89547e-08,
0.316,4.72826e-08,
0.317,4.56632e-08,
0.318,4.4095e-08,
0.319,4.25766e-08,
0.32,4.11068e-08,
0.321,3.96839e-08,
0.322,3.83069e-08,
0.323,3.69743e-08,
0.324,3.5685e-08,
0.325,3.44375e-08,
0.326,3.32308e-08,
0.327,3.20636e-08,
0.328,3.09348e-08,
0.329,2.98433e-08,
0.33,2.87879e-08,
0.331,2.77676e-08,
0.332,2.67813e-08,
0.333,2.5828e-08,
0.334,2.49066e-08,
0.335,2.40163e-08,
0.336,2.3156e-08,
0.337,2.23249e-08,
0.338,2.1522e-08,
0.339,2.07464e-08,
0.34,1.99974e-08,
0.341,1.9274e-08,
0.342,1.85754e-08,
0.343,1.79009e-08,
0.344,1.72498e-08,
0.345,1.66211e-08,
0.346,1.60144e-08,
0.347,1.54287e-08,
0.348,1.48635e-08,
0.349,1.4318e-08,
0.35,1.37918e-08,
0.351,1.32839e-08,
0.352,1.27941e-08,
0.353,1.23215e-08,
0.354,1.18657e-08,
0.355,1.1426e-08,
0.356,1.1002e-08,
0.357,1.05931e-08,
0.358,1.01988e-08,
0.359,9.81862e-09,
0.36,9.45211e-09,
0.361,9.09876e-09,
0.362,8.75816e-09,
0.363,8.42984e-09,
0.364,8.11342e-09,
0.365,7.80845e-09,
0.366,7.51457e-09,
0.367,7.23138e-09,
0.368,6.95852e-09,
0.369,6.69561e-09,
0.37,6.44234e-09,
0.371,6.19834e-09,
0.372,5.96331e-09,
0.373,5.73691e-09,
0.374,5.51886e-09,
0.375,5.30886e-09,
0.376,5.10662e-09,
0.377,4.91186e-09,
0.378,4.72434e-09,
0.379,4.54377e-09,
0.38,4.36993e-09,
0.381,4.20255e-09,
0.382,4.04143e-09,
0.383,3.88632e-09,
0.384,3.73702e-09,
0.385,3.59331e-09,
0.386,3.455e-09,
0.387,3.32188e-09,
0.388,3.19378e-09,
0.389,3.07049e-09,
0.39,2.95186e-09,
0.391,2.83771e-09,
0.392,2.72788e-09,
0.393,2.62221e-09,
0.394,2.52055e-09,
