9:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:35:27 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.237,1.51078e-07,
0.238,1.48907e-07,
0.239,1.46397e-07,
0.24,1.4361e-07,
0.241,1.40626e-07,
0.242,1.37515e-07,
0.243,1.34327e-07,
0.244,1.311e-07,
0.245,1.2786e-07,
0.246,1.24627e-07,
0.247,1.21414e-07,
0.248,1.18233e-07,
0.249,1.1509e-07,
0.25,1.11992e-07,
0.251,1.08944e-07,
0.252,1.05947e-07,
0.253,1.03005e-07,
0.254,1.0012e-07,
0.255,9.7293e-08,
0.256,9.45247e-08,
0.257,9.18158e-08,
0.258,8.91665e-08,
0.259,8.6577e-08,
0.26,8.4047e-08,
0.261,8.15764e-08,
0.262,7.91646e-08,
0.263,7.68111e-08,
0.264,7.45154e-08,
0.265,7.22767e-08,
0.266,7.00944e-08,
0.267,6.79676e-08,
0.268,6.58955e-08,
0.269,6.38772e-08,
0.27,6.19118e-08,
0.271,5.99983e-08,
0.272,5.8136e-08,
0.273,5.63236e-08,
0.274,5.45605e-08,
0.275,5.28454e-08,
0.276,5.11776e-08,
0.277,4.95559e-08,
0.278,4.79795e-08,
0.279,4.64473e-08,
0.28,4.49585e-08,
0.281,4.35119e-08,
0.282,4.21067e-08,
0.283,4.07419e-08,
0.284,3.94166e-08,
0.285,3.81299e-08,
0.286,3.68808e-08,
0.287,3.56685e-08,
0.288,3.4492e-08,
0.289,3.33504e-08,
0.29,3.2243e-08,
0.291,3.11688e-08,
0.292,3.01271e-08,
0.293,2.91169e-08,
0.294,2.81375e-08,
0.295,2.71881e-08,
0.296,2.62678e-08,
0.297,2.5376e-08,
0.298,2.45119e-08,
0.299,2.36746e-08,
0.3,2.28636e-08,
0.301,2.20781e-08,
0.302,2.13173e-08,
0.303,2.05807e-08,
0.304,1.98675e-08,
0.305,1.91771e-08,
0.306,1.85089e-08,
0.307,1.78622e-08,
0.308,1.72364e-08,
0.309,1.66309e-08,
0.31,1.60451e-08,
0.311,1.54785e-08,
0.312,1.49305e-08,
0.313,1.44006e-08,
0.314,1.38882e-08,
0.315,1.33928e-08,
0.316,1.29139e-08,
0.317,1.2451e-08,
0.318,1.20036e-08,
0.319,1.15713e-08,
0.32,1.11536e-08,
0.321,1.075e-08,
0.322,1.03602e-08,
0.323,9.98366e-09,
0.324,9.62e-09,
0.325,9.26882e-09,
0.326,8.92973e-09,
0.327,8.60234e-09,
0.328,8.28631e-09,
0.329,7.98124e-09,
0.33,7.68682e-09,
0.331,7.40267e-09,
0.332,7.12849e-09,
0.333,6.86395e-09,
0.334,6.60873e-09,
0.335,6.36253e-09,
0.336,6.12506e-09,
0.337,5.89602e-09,
0.338,5.67515e-09,
0.339,5.46216e-09,
0.34,5.25681e-09,
0.341,5.05883e-09,
0.342,4.86798e-09,
0.343,4.68401e-09,
0.344,4.5067e-09,
0.345,4.33582e-09,
0.346,4.17115e-09,
0.347,4.01248e-09,
0.348,3.8596e-09,
0.349,3.71232e-09,
0.35,3.57045e-09,
0.351,3.43378e-09,
0.352,3.30216e-09,
0.353,3.17539e-09,
0.354,3.05332e-09,
0.355,2.93577e-09,
0.356,2.82259e-09,
0.357,2.71362e-09,
0.358,2.60872e-09,
0.359,2.50773e-09,
0.36,2.41053e-09,
0.361,2.31698e-09,
0.362,2.22694e-09,
0.363,2.14029e-09,
0.364,2.05691e-09,
0.365,1.97668e-09,
0.366,1.8995e-09,
0.367,1.82523e-09,
0.368,1.75379e-09,
0.369,1.68506e-09,
0.37,1.61896e-09,
0.371,1.55538e-09,
0.372,1.49423e-09,
0.373,1.43542e-09,
0.374,1.37887e-09,
0.375,1.32449e-09,
0.376,1.2722e-09,
0.377,1.22192e-09,
0.378,1.17359e-09,
0.379,1.12712e-09,
0.38,1.08245e-09,
0.381,1.03951e-09,
0.382,9.9824e-10,
0.383,9.58569e-10,
0.384,9.20443e-10,
0.385,8.838e-10,
0.386,8.48587e-10,
0.387,8.14748e-10,
0.388,7.82233e-10,
0.389,7.50989e-10,
0.39,7.2097e-10,
0.391,6.92128e-10,
0.392,6.6442e-10,
0.393,6.378e-10,
0.394,6.12229e-10,
0.395,5.87664e-10,
0.396,5.6407e-10,
0.397,5.41406e-10,
0.398,5.19638e-10,
0.399,4.98731e-10,
0.4,4.78653e-10,
0.401,4.59371e-10,
0.402,4.40854e-10,
0.403,4.23071e-10,
0.404,4.05997e-10,
0.405,3.89601e-10,
0.406,3.73859e-10,
0.407,3.58744e-10,
0.408,3.44232e-10,
0.409,3.303e-10,
0.41,3.16924e-10,
0.411,3.04083e-10,
0.412,2.91757e-10,
0.413,2.79924e-10,
0.414,2.68566e-10,
0.415,2.57663e-10,
0.416,2.47198e-10,
0.417,2.37154e-10,
0.418,2.27514e-10,
0.419,2.18261e-10,
0.42,2.09381e-10,
0.421,2.00859e-10,
0.422,1.92681e-10,
0.423,1.84832e-10,
0.424,1.77301e-10,
0.425,1.70074e-10,
0.426,1.63139e-10,
0.427,1.56485e-10,
0.428,1.501e-10,
0.429,1.43973e-10,
0.43,1.38095e-10,
0.431,1.32455e-10,
0.432,1.27045e-10,
0.433,1.21853e-10,
0.434,1.16873e-10,
0.435,1.12095e-10,
0.436,1.07512e-10,
0.437,1.03115e-10,
0.438,9.88967e-11,
0.439,9.48504e-11,
0.44,9.09691e-11,
0.441,8.72459e-11,
0.442,8.36747e-11,
0.443,8.02491e-11,
0.444,7.69635e-11,
0.445,7.3812e-11,
0.446,7.07894e-11,
0.447,6.78903e-11,
0.448,6.51099e-11,
0.449,6.24431e-11
