8:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:34:47 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.237,2.94694e-07,
0.238,2.9029e-07,
0.239,2.85313e-07,
0.24,2.79876e-07,
0.241,2.74113e-07,
0.242,2.68134e-07,
0.243,2.62026e-07,
0.244,2.55851e-07,
0.245,2.49656e-07,
0.246,2.43474e-07,
0.247,2.3733e-07,
0.248,2.31243e-07,
0.249,2.25227e-07,
0.25,2.19293e-07,
0.251,2.1345e-07,
0.252,2.07703e-07,
0.253,2.02058e-07,
0.254,1.96518e-07,
0.255,1.91086e-07,
0.256,1.85763e-07,
0.257,1.80551e-07,
0.258,1.7545e-07,
0.259,1.70461e-07,
0.26,1.65583e-07,
0.261,1.60817e-07,
0.262,1.56161e-07,
0.263,1.51615e-07,
0.264,1.47177e-07,
0.265,1.42847e-07,
0.266,1.38623e-07,
0.267,1.34504e-07,
0.268,1.30488e-07,
0.269,1.26573e-07,
0.27,1.22759e-07,
0.271,1.19043e-07,
0.272,1.15424e-07,
0.273,1.119e-07,
0.274,1.08469e-07,
0.275,1.05129e-07,
0.276,1.01879e-07,
0.277,9.87176e-08,
0.278,9.56417e-08,
0.279,9.26503e-08,
0.28,8.97413e-08,
0.281,8.69132e-08,
0.282,8.4164e-08,
0.283,8.14921e-08,
0.284,7.88957e-08,
0.285,7.63731e-08,
0.286,7.39226e-08,
0.287,7.15425e-08,
0.288,6.92312e-08,
0.289,6.6987e-08,
0.29,6.48083e-08,
0.291,6.26935e-08,
0.292,6.06411e-08,
0.293,5.86495e-08,
0.294,5.67171e-08,
0.295,5.48426e-08,
0.296,5.30243e-08,
0.297,5.12609e-08,
0.298,4.9551e-08,
0.299,4.78932e-08,
0.3,4.6286e-08,
0.301,4.47283e-08,
0.302,4.32185e-08,
0.303,4.17556e-08,
0.304,4.03381e-08,
0.305,3.89649e-08,
0.306,3.76348e-08,
0.307,3.63465e-08,
0.308,3.5099e-08,
0.309,3.3891e-08,
0.31,3.27215e-08,
0.311,3.15895e-08,
0.312,3.04937e-08,
0.313,2.94332e-08,
0.314,2.8407e-08,
0.315,2.74141e-08,
0.316,2.64535e-08,
0.317,2.55244e-08,
0.318,2.46256e-08,
0.319,2.37565e-08,
0.32,2.29161e-08,
0.321,2.21035e-08,
0.322,2.13178e-08,
0.323,2.05584e-08,
0.324,1.98244e-08,
0.325,1.91151e-08,
0.326,1.84296e-08,
0.327,1.77672e-08,
0.328,1.71273e-08,
0.329,1.65092e-08,
0.33,1.59121e-08,
0.331,1.53354e-08,
0.332,1.47785e-08,
0.333,1.42407e-08,
0.334,1.37215e-08,
0.335,1.32202e-08,
0.336,1.27363e-08,
0.337,1.22692e-08,
0.338,1.18184e-08,
0.339,1.13834e-08,
0.34,1.09636e-08,
0.341,1.05586e-08,
0.342,1.01678e-08,
0.343,9.79088e-09,
0.344,9.42726e-09,
0.345,9.07656e-09,
0.346,8.73832e-09,
0.347,8.41217e-09,
0.348,8.09766e-09,
0.349,7.79443e-09,
0.35,7.50208e-09,
0.351,7.22027e-09,
0.352,6.94862e-09,
0.353,6.68679e-09,
0.354,6.43445e-09,
0.355,6.19128e-09,
0.356,5.95695e-09,
0.357,5.73117e-09,
0.358,5.51364e-09,
0.359,5.30407e-09,
0.36,5.10219e-09,
0.361,4.90774e-09,
0.362,4.72045e-09,
0.363,4.54007e-09,
0.364,4.36635e-09,
0.365,4.19908e-09,
0.366,4.038e-09,
0.367,3.88292e-09,
0.368,3.73361e-09,
0.369,3.58987e-09,
0.37,3.4515e-09,
0.371,3.31832e-09,
0.372,3.19012e-09,
0.373,3.06674e-09,
0.374,2.948e-09,
0.375,2.83373e-09,
0.376,2.72377e-09,
0.377,2.61798e-09,
0.378,2.51618e-09,
0.379,2.41824e-09,
0.38,2.32402e-09,
0.381,2.23338e-09,
0.382,2.14619e-09,
0.383,2.06233e-09,
0.384,1.98166e-09,
0.385,1.90408e-09,
0.386,1.82947e-09,
0.387,1.75772e-09,
0.388,1.68872e-09,
0.389,1.62237e-09,
0.39,1.55857e-09,
0.391,1.49724e-09,
0.392,1.43826e-09,
0.393,1.38157e-09,
0.394,1.32706e-09,
0.395,1.27467e-09,
0.396,1.2243e-09,
0.397,1.17589e-09,
0.398,1.12935e-09,
0.399,1.08463e-09,
