7:*******************************************,
DC Transfer Curves,
Wed Nov 23 11:14:49 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\not_tb.cir,
sweep [V],i(vdd2) [A],
0.237,1.68092e-07,
0.238,1.63476e-07,
0.239,1.58962e-07,
0.24,1.54549e-07,
0.241,1.50238e-07,
0.242,1.46026e-07,
0.243,1.41912e-07,
0.244,1.37895e-07,
0.245,1.33974e-07,
0.246,1.30148e-07,
0.247,1.26414e-07,
0.248,1.22772e-07,
0.249,1.19219e-07,
0.25,1.15755e-07,
0.251,1.12377e-07,
0.252,1.09085e-07,
0.253,1.05876e-07,
0.254,1.02749e-07,
0.255,9.9703e-08,
0.256,9.67353e-08,
0.257,9.38449e-08,
0.258,9.10301e-08,
0.259,8.82896e-08,
0.26,8.56215e-08,
0.261,8.30245e-08,
0.262,8.04969e-08,
0.263,7.80374e-08,
0.264,7.56444e-08,
0.265,7.33165e-08,
0.266,7.1052e-08,
0.267,6.88499e-08,
0.268,6.67084e-08,
0.269,6.46264e-08,
0.27,6.26023e-08,
0.271,6.06349e-08,
0.272,5.87227e-08,
0.273,5.68647e-08,
0.274,5.50592e-08,
0.275,5.33054e-08,
0.276,5.16017e-08,
0.277,4.9947e-08,
0.278,4.83401e-08,
0.279,4.67799e-08,
0.28,4.52651e-08,
0.281,4.37947e-08,
0.282,4.23674e-08,
0.283,4.09824e-08,
0.284,3.96383e-08,
0.285,3.83343e-08,
0.286,3.70693e-08,
0.287,3.58423e-08,
0.288,3.46522e-08,
0.289,3.34981e-08,
0.29,3.23791e-08,
0.291,3.12944e-08,
0.292,3.02427e-08,
0.293,2.92235e-08,
0.294,2.82357e-08,
0.295,2.72786e-08,
0.296,2.63512e-08,
0.297,2.54529e-08,
0.298,2.45826e-08,
0.299,2.37398e-08,
0.3,2.29237e-08,
0.301,2.21334e-08,
0.302,2.13683e-08,
0.303,2.06276e-08,
0.304,1.99107e-08,
0.305,1.92169e-08,
0.306,1.85455e-08,
0.307,1.78959e-08,
0.308,1.72674e-08,
0.309,1.66594e-08,
0.31,1.60714e-08,
0.311,1.55027e-08,
0.312,1.49528e-08,
0.313,1.44211e-08,
0.314,1.3907e-08,
0.315,1.34101e-08,
0.316,1.29298e-08,
0.317,1.24656e-08,
0.318,1.20171e-08,
0.319,1.15837e-08,
0.32,1.1165e-08,
0.321,1.07605e-08,
0.322,1.03698e-08,
0.323,9.9925e-09,
0.324,9.62811e-09,
0.325,9.27628e-09,
0.326,8.93658e-09,
0.327,8.60865e-09,
0.328,8.29208e-09,
0.329,7.98656e-09,
0.33,7.69169e-09,
0.331,7.40716e-09,
0.332,7.1326e-09,
0.333,6.86773e-09,
0.334,6.61219e-09,
0.335,6.36571e-09,
0.336,6.12797e-09,
0.337,5.8987e-09,
0.338,5.6776e-09,
0.339,5.46442e-09,
0.34,5.25888e-09,
0.341,5.06073e-09,
0.342,4.86972e-09,
0.343,4.68561e-09,
0.344,4.50816e-09,
0.345,4.33717e-09,
0.346,4.17238e-09,
0.347,4.01361e-09,
0.348,3.86064e-09,
0.349,3.71328e-09,
0.35,3.57132e-09,
0.351,3.43459e-09,
0.352,3.30289e-09,
0.353,3.17607e-09,
0.354,3.05393e-09,
0.355,2.93634e-09,
0.356,2.8231e-09,
0.357,2.7141e-09,
0.358,2.60915e-09,
0.359,2.50813e-09,
0.36,2.4109e-09,
0.361,2.31731e-09,
0.362,2.22724e-09,
0.363,2.14057e-09,
0.364,2.05717e-09,
0.365,1.97692e-09,
0.366,1.89971e-09,
0.367,1.82543e-09,
0.368,1.75397e-09,
0.369,1.68523e-09,
0.37,1.61911e-09,
0.371,1.55552e-09,
0.372,1.49436e-09,
0.373,1.43554e-09,
0.374,1.37897e-09,
0.375,1.32459e-09,
0.376,1.27229e-09,
0.377,1.22201e-09,
0.378,1.17366e-09,
0.379,1.12719e-09,
0.38,1.08251e-09,
0.381,1.03957e-09,
0.382,9.98292e-10,
0.383,9.58618e-10,
0.384,9.20486e-10,
0.385,8.83841e-10,
0.386,8.48623e-10,
0.387,8.14783e-10,
0.388,7.82263e-10,
0.389,7.51018e-10,
0.39,7.20995e-10,
0.391,6.92153e-10,
0.392,6.64441e-10,
0.393,6.3782e-10,
0.394,6.12246e-10,
0.395,5.87681e-10,
0.396,5.64084e-10,
0.397,5.4142e-10,
0.398,5.1965e-10,
0.399,4.98744e-10,
0.4,4.78663e-10,
0.401,4.59381e-10,
0.402,4.40862e-10,
0.403,4.2308e-10,
0.404,4.06004e-10,
0.405,3.89608e-10,
0.406,3.73865e-10,
0.407,3.5875e-10,
0.408,3.44237e-10,
0.409,3.30305e-10,
0.41,3.16928e-10,
0.411,3.04088e-10,
0.412,2.9176e-10,
0.413,2.79928e-10,
0.414,2.68569e-10,
0.415,2.57666e-10,
0.416,2.47201e-10,
0.417,2.37156e-10,
0.418,2.27515e-10,
0.419,2.18263e-10,
0.42,2.09383e-10,
0.421,2.00861e-10,
0.422,1.92682e-10,
0.423,1.84834e-10,
0.424,1.77302e-10,
0.425,1.70075e-10,
0.426,1.6314e-10,
0.427,1.56486e-10,
0.428,1.501e-10,
0.429,1.43974e-10,
0.43,1.38096e-10,
0.431,1.32456e-10,
0.432,1.27045e-10,
0.433,1.21854e-10,
0.434,1.16874e-10,
0.435,1.12096e-10,
0.436,1.07512e-10,
0.437,1.03115e-10,
0.438,9.88969e-11,
0.439,9.48507e-11,
0.44,9.09692e-11,
0.441,8.72462e-11,
0.442,8.36748e-11,
0.443,8.02494e-11,
0.444,7.69636e-11,
0.445,7.38123e-11,
0.446,7.07895e-11,
0.447,6.78905e-11,
0.448,6.51099e-11,
0.449,6.24433e-11
