44:*******************************************,
Transient Analysis,
Thu Nov 10 09:49:32 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
0,0,7.98419e-07,
1e-17,0,7.56456e-07,
2e-17,0,7.56456e-07,
4e-17,0,7.56456e-07,
8e-17,0,7.3343e-07,
1.6e-16,0,6.88568e-07,
3.2e-16,0,6.03324e-07,
6.4e-16,0,4.48753e-07,
1.28e-15,0,1.90767e-07,
2.56e-15,0,-1.9635e-07,
5.12e-15,0,-7.11409e-07,
1.024e-14,0,-1.26615e-06,
2.048e-14,0,-1.95559e-06,
4.096e-14,0,-2.65811e-06,
8.192e-14,0,-4.51148e-06,
1.6384e-13,0,-5.95029e-06,
3.2768e-13,0,-7.90898e-06,
6.5536e-13,0,-9.26754e-06,
1e-12,0,-8.66205e-06,
1.06554e-12,0.065536,0.00252862,
1.19661e-12,0.196608,0.00636494,
1.45875e-12,0.458752,0.0140879,
1.98304e-12,0.98304,0.0373266,
2e-12,1,0.0384033,
2.03392e-12,1,0.0378653,
2.10176e-12,1,0.03783,
2.23744e-12,1,0.0380427,
2.5088e-12,1,0.0382432,
3.05152e-12,1,0.0387562,
4.13696e-12,1,0.0393141,
6.30784e-12,1,0.0396889,
1.06496e-11,1,0.0378192,
1.93331e-11,1,0.0302643,
3.67002e-11,1,0.0154651,
5.87002e-11,1,0.00565089,
8.07002e-11,1,0.00213472,
1.027e-10,1,0.00102914,
1.247e-10,1,0.000506825,
1.467e-10,1,0.000351132,
1.687e-10,1,0.000155531,
1.907e-10,1,5.96692e-05,
2.127e-10,1,-0.000294858,
2.347e-10,1,-0.00107354,
2.567e-10,1,-0.00186084,
2.787e-10,1,0.000488346,
3.007e-10,1,0.00907919,
3.227e-10,1,0.0240479,
3.447e-10,1,0.0313087,
3.667e-10,1,0.0231852,
3.887e-10,1,0.0117156,
4.02e-10,1,0.00717455,
4.021e-10,0.9,-0.00195442,
4.023e-10,0.7,-0.0200251,
4.027e-10,0.3,-0.0563323,
4.03e-10,0,-0.0818957,
4.0308e-10,0,-0.0800981,
4.0324e-10,0,-0.0778979,
4.0356e-10,0,-0.0737176,
4.042e-10,0,-0.0652666,
4.0548e-10,0,-0.0488522,
4.0804e-10,0,-0.0169168,
4.1316e-10,0,0.0438139,
4.234e-10,0,0.160538,
4.4388e-10,0,0.382126,
4.6588e-10,0,0.592529,
4.8788e-10,0,0.749956,
5.0988e-10,0,0.854229,
5.3188e-10,0,0.917727,
5.5388e-10,0,0.954572,
5.7588e-10,0,0.974624,
5.9788e-10,0,0.985394,
6.1988e-10,0,0.990996,
6.4188e-10,0,0.99404,
6.6388e-10,0,0.995556,
6.8588e-10,0,0.996445,
7.0788e-10,0,0.996827,
7.2988e-10,0,0.997119,
7.5188e-10,0,0.997185,
7.7388e-10,0,0.99731,
7.9588e-10,0,0.997288,
8.01e-10,0,0.997351,
8.011e-10,0.1,1.07183,
8.013e-10,0.3,1.08062,
8.01607e-10,0.606862,1.09798,
8.01934e-10,0.933603,1.10909,
8.02e-10,1,1.11217,
8.02065e-10,1,1.10992,
8.02196e-10,1,1.10694,
8.02457e-10,1,1.1016,
8.0298e-10,1,1.09047,
8.04026e-10,1,1.06917,
8.06117e-10,1,1.02771,
8.10299e-10,1,0.950751,
8.18664e-10,1,0.812337,
8.35393e-10,1,0.576486,
8.57393e-10,1,0.32966,
8.79393e-10,1,0.163278,
9.01393e-10,1,0.0716605,
9.23393e-10,1,0.0295156,
9.45393e-10,1,0.0115355,
9.67393e-10,1,0.00459303,
9.89393e-10,1,0.00154658,
1.01139e-09,1,0.000710065,
1.03339e-09,1,9.73681e-05,
1.05539e-09,1,0.000181424,
1.07739e-09,1,-8.00795e-05,
1.09939e-09,1,0.000126534,
1.1e-09,1,-8.53907e-05
