7:*******************************************,
Transient Analysis,
Mon Nov 14 19:53:23 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.6532e-09,0.45,0.000302094,
3.6542e-09,0.45,0.000309823,
3.6552e-09,0.45,0.000317913,
3.6562e-09,0.45,0.000325676,
3.6572e-09,0.45,0.000333305,
3.6582e-09,0.45,0.000340446,
3.6592e-09,0.45,0.000346889,
3.6602e-09,0.45,0.000354314,
3.6612e-09,0.45,0.000361099,
3.6622e-09,0.45,0.000368214,
3.6632e-09,0.45,0.00037543,
3.6642e-09,0.45,0.000382952,
3.6652e-09,0.45,0.000390149,
3.6662e-09,0.45,0.000397755,
3.6672e-09,0.45,0.000404974,
3.6682e-09,0.45,0.000412677,
3.6692e-09,0.45,0.00041991,
3.6702e-09,0.45,0.000427661,
3.6712e-09,0.45,0.000434353,
3.6722e-09,0.45,0.000441836,
3.6732e-09,0.45,0.00044864,
3.6742e-09,0.45,0.000457204,
3.6752e-09,0.45,0.000465627,
3.6762e-09,0.45,0.000474185,
3.6772e-09,0.45,0.000482682,
3.6782e-09,0.45,0.000491281,
3.6792e-09,0.45,0.000499682,
3.6802e-09,0.45,0.000508086,
3.6812e-09,0.45,0.00051642,
3.6822e-09,0.45,0.00052342,
3.6832e-09,0.45,0.0005325,
3.6842e-09,0.45,0.000540544,
3.6852e-09,0.45,0.000549211,
3.6862e-09,0.45,0.000557516,
3.6872e-09,0.45,0.000566787,
3.6882e-09,0.45,0.000574025,
3.6892e-09,0.45,0.00058073,
3.6902e-09,0.45,0.000588795,
3.6912e-09,0.45,0.0005957,
3.6922e-09,0.45,0.000604511,
3.6932e-09,0.45,0.000612657,
3.6942e-09,0.45,0.000621579,
3.6952e-09,0.45,0.000629724,
3.6962e-09,0.45,0.000638295,
3.6972e-09,0.45,0.000646062,
3.6982e-09,0.45,0.000653724,
3.6992e-09,0.45,0.000661386,
3.7002e-09,0.45,0.000669134,
3.7012e-09,0.45,0.000677082,
3.7022e-09,0.45,0.000684321,
3.7032e-09,0.45,0.000692049,
3.7042e-09,0.45,0.000699663,
3.7052e-09,0.45,0.000707695,
3.7062e-09,0.45,0.000715258,
3.7072e-09,0.45,0.00072338,
3.7082e-09,0.45,0.000730813,
3.7092e-09,0.45,0.000738934,
3.7102e-09,0.45,0.000746312,
3.7112e-09,0.45,0.000754801,
3.7122e-09,0.45,0.000762756,
3.7132e-09,0.45,0.0007712,
3.7142e-09,0.45,0.000779219,
3.7152e-09,0.45,0.000788312,
3.7162e-09,0.45,0.000796764,
3.7172e-09,0.45,0.000805522,
3.7182e-09,0.45,0.000813975,
3.7192e-09,0.45,0.00082269,
3.7202e-09,0.45,0.000831072,
3.7212e-09,0.45,0.000839822,
3.7222e-09,0.45,0.000848502,
3.7232e-09,0.45,0.000856417,
3.7242e-09,0.45,0.0008646,
3.7252e-09,0.45,0.000873648,
3.7262e-09,0.45,0.000882554,
3.7272e-09,0.45,0.000891584,
3.7282e-09,0.45,0.000900208,
3.7292e-09,0.45,0.000909792,
3.7302e-09,0.45,0.000919049,
3.7312e-09,0.45,0.000928483,
3.7322e-09,0.45,0.000937542,
3.7332e-09,0.45,0.000946722,
3.7342e-09,0.45,0.000954917,
3.7352e-09,0.45,0.000964711,
3.7362e-09,0.45,0.000973488,
3.7372e-09,0.45,0.000983331,
3.7382e-09,0.45,0.000992772,
3.7392e-09,0.45,0.00100466,
3.7402e-09,0.45,0.0010145,
3.7412e-09,0.45,0.0010237,
3.7422e-09,0.45,0.00103273,
3.7432e-09,0.45,0.00104106,
3.7442e-09,0.45,0.00104984,
3.7452e-09,0.45,0.00105916,
3.7462e-09,0.45,0.00106679,
3.7472e-09,0.45,0.001075,
3.7482e-09,0.45,0.00108298,
3.7492e-09,0.45,0.00109127,
3.7502e-09,0.45,0.00109848,
3.7512e-09,0.45,0.00110625,
3.7522e-09,0.45,0.0011136,
3.7532e-09,0.45,0.00112144,
3.7542e-09,0.45,0.00112986,
3.7552e-09,0.45,0.00113794,
3.7562e-09,0.45,0.00114495,
3.7572e-09,0.45,0.00115223,
3.7582e-09,0.45,0.00116091,
3.7592e-09,0.45,0.00117051,
3.7602e-09,0.45,0.00117826,
3.7612e-09,0.45,0.00118703,
3.7622e-09,0.45,0.00119609,
3.7632e-09,0.45,0.00120127,
3.7642e-09,0.45,0.00120699,
3.7652e-09,0.45,0.00121628,
3.7662e-09,0.45,0.00122749,
3.7672e-09,0.45,0.00123731,
3.7682e-09,0.45,0.00124531,
3.7692e-09,0.45,0.00125316,
3.7702e-09,0.45,0.00126268,
3.7712e-09,0.45,0.00127293,
3.7722e-09,0.45,0.00128406,
3.7732e-09,0.45,0.00129307,
3.7742e-09,0.45,0.00130417,
3.7752e-09,0.45,0.00131399,
3.7762e-09,0.45,0.00132412,
3.7772e-09,0.45,0.00133325,
3.7782e-09,0.45,0.00134338,
3.7792e-09,0.45,0.0013523,
3.7802e-09,0.45,0.00136326,
3.7812e-09,0.45,0.00137277,
3.7822e-09,0.45,0.00138291,
3.7832e-09,0.45,0.00139257,
3.7842e-09,0.45,0.00140269,
3.7852e-09,0.45,0.00141159,
3.7862e-09,0.45,0.00142172,
3.7872e-09,0.45,0.00143065,
3.7882e-09,0.45,0.0014422,
3.7892e-09,0.45,0.00145193,
3.7902e-09,0.45,0.0014627,
3.7912e-09,0.45,0.00147405,
3.7922e-09,0.45,0.00148489,
3.7932e-09,0.45,0.00149546,
3.7942e-09,0.45,0.0015064,
3.7952e-09,0.45,0.00151399,
3.7962e-09,0.45,0.00152678,
3.7972e-09,0.45,0.00153696,
3.7982e-09,0.45,0.00154875,
3.7992e-09,0.45,0.00155738,
3.8002e-09,0.45,0.00156865,
3.8012e-09,0.45,0.00157911,
3.8022e-09,0.45,0.00159272,
3.8032e-09,0.45,0.00160431,
3.8042e-09,0.45,0.00161977,
3.8052e-09,0.45,0.00163204,
3.8062e-09,0.45,0.00164661,
3.8072e-09,0.45,0.00165977,
3.8082e-09,0.45,0.00167451,
3.8092e-09,0.45,0.00168812,
3.8102e-09,0.45,0.00170387,
3.8112e-09,0.45,0.00171749,
3.8122e-09,0.45,0.00173343,
3.8132e-09,0.45,0.00174644,
3.8142e-09,0.45,0.00176234,
3.8152e-09,0.45,0.00177486,
3.8162e-09,0.45,0.0017914,
3.8172e-09,0.45,0.00180443,
3.8182e-09,0.45,0.00182072,
3.8192e-09,0.45,0.00183328,
3.8202e-09,0.45,0.00184903,
3.8212e-09,0.45,0.00186264,
3.8222e-09,0.45,0.00187833,
3.8232e-09,0.45,0.00189249,
3.8242e-09,0.45,0.00190779,
3.8252e-09,0.45,0.00192154,
3.8262e-09,0.45,0.00193666,
3.8272e-09,0.45,0.00195199,
3.8282e-09,0.45,0.00196834,
3.8292e-09,0.45,0.00198414,
3.8302e-09,0.45,0.0020016,
3.8312e-09,0.45,0.00201711,
3.8322e-09,0.45,0.00203486,
3.8332e-09,0.45,0.00204997,
3.8342e-09,0.45,0.00206852,
3.8352e-09,0.45,0.00208332,
3.8362e-09,0.45,0.00210228,
3.8372e-09,0.45,0.00211856,
3.8382e-09,0.45,0.00213763,
3.8392e-09,0.45,0.00215436,
3.8402e-09,0.45,0.00217523,
3.8412e-09,0.45,0.00219229,
3.8422e-09,0.45,0.0022122,
3.8432e-09,0.45,0.00222906,
3.8442e-09,0.45,0.00224948,
3.8452e-09,0.45,0.00226887,
3.8462e-09,0.45,0.00228861,
3.8472e-09,0.45,0.00230766,
3.8482e-09,0.45,0.00232806,
3.8492e-09,0.45,0.0023463,
3.8502e-09,0.45,0.00236686,
3.8512e-09,0.45,0.00238592,
3.8522e-09,0.45,0.00240709,
3.8532e-09,0.45,0.00242572,
3.8542e-09,0.45,0.0024474,
3.8552e-09,0.45,0.00246632,
3.8562e-09,0.45,0.00248758,
3.8572e-09,0.45,0.00250579,
3.8582e-09,0.45,0.0025277,
3.8592e-09,0.45,0.00254664,
3.8602e-09,0.45,0.00256418,
3.8612e-09,0.45,0.00258038,
3.8622e-09,0.45,0.00260053,
3.8632e-09,0.45,0.00262078,
3.8642e-09,0.45,0.00264048,
3.8652e-09,0.45,0.00266027,
3.8662e-09,0.45,0.00268025,
3.8672e-09,0.45,0.00270018,
3.8682e-09,0.45,0.00272286,
3.8692e-09,0.45,0.00274554,
3.8702e-09,0.45,0.00276802,
3.8712e-09,0.45,0.00278815,
3.8722e-09,0.45,0.00280954,
3.8732e-09,0.45,0.00283083,
3.8742e-09,0.45,0.00285517,
3.8752e-09,0.45,0.00287717,
3.8762e-09,0.45,0.00290214,
3.8772e-09,0.45,0.00292359,
3.8782e-09,0.45,0.00295023,
3.8792e-09,0.45,0.0029721,
3.8802e-09,0.45,0.00299703,
3.8812e-09,0.45,0.00301691,
3.8822e-09,0.45,0.00304163,
3.8832e-09,0.45,0.00306562,
3.8842e-09,0.45,0.00309016,
3.8852e-09,0.45,0.00311579,
3.8862e-09,0.45,0.00314026,
3.8872e-09,0.45,0.00316503,
3.8882e-09,0.45,0.00318788,
3.8892e-09,0.45,0.00320941,
3.8902e-09,0.45,0.00323444,
3.8912e-09,0.45,0.00325694,
3.8922e-09,0.45,0.00328205,
3.8932e-09,0.45,0.00330525,
3.8942e-09,0.45,0.00333275,
3.8952e-09,0.45,0.00335619,
3.8962e-09,0.45,0.00338626,
3.8972e-09,0.45,0.00341221,
3.8982e-09,0.45,0.00344086,
3.8992e-09,0.45,0.00346539,
3.9002e-09,0.45,0.00349554,
3.9012e-09,0.45,0.00352332,
3.9022e-09,0.45,0.00355113,
3.9032e-09,0.45,0.00357899,
3.9042e-09,0.45,0.00360839,
3.9052e-09,0.45,0.00363371,
3.9062e-09,0.45,0.00366269,
3.9072e-09,0.45,0.0036904,
3.9082e-09,0.45,0.00372167,
3.9092e-09,0.45,0.00374942,
3.9102e-09,0.45,0.00378004,
3.9112e-09,0.45,0.00380714,
3.9122e-09,0.45,0.00383999,
3.9132e-09,0.45,0.0038701,
3.9142e-09,0.45,0.00390106,
3.9152e-09,0.45,0.00393068,
3.9162e-09,0.45,0.00395938,
3.9172e-09,0.45,0.00398901,
3.9182e-09,0.45,0.00401841,
3.9192e-09,0.45,0.00404786,
3.9202e-09,0.45,0.0040762,
3.9212e-09,0.45,0.00410567,
3.9222e-09,0.45,0.00413484,
3.9232e-09,0.45,0.00416388,
3.9242e-09,0.45,0.00419362,
3.9252e-09,0.45,0.00422464,
3.9262e-09,0.45,0.00425736,
3.9272e-09,0.45,0.00428958,
3.9282e-09,0.45,0.00432329,
3.9292e-09,0.45,0.00435579,
3.9302e-09,0.45,0.00438841,
3.9312e-09,0.45,0.00442073,
3.9322e-09,0.45,0.00445312,
3.9332e-09,0.45,0.00448785,
3.9342e-09,0.45,0.00451892,
3.9352e-09,0.45,0.00455218,
3.9362e-09,0.45,0.00458327,
3.9372e-09,0.45,0.00461708,
3.9382e-09,0.45,0.00464958,
3.9392e-09,0.45,0.00468388,
3.9402e-09,0.45,0.0047162,
3.9412e-09,0.45,0.00475121,
3.9422e-09,0.45,0.00478584,
3.9432e-09,0.45,0.00482404,
3.9442e-09,0.45,0.00485581,
3.9452e-09,0.45,0.00489282,
3.9462e-09,0.45,0.00492369,
3.9472e-09,0.45,0.00495919,
3.9482e-09,0.45,0.00499087,
3.9492e-09,0.45,0.00502645,
3.9502e-09,0.45,0.00505815,
3.9512e-09,0.45,0.00508974,
3.9522e-09,0.45,0.00512382,
3.9532e-09,0.45,0.00515933,
3.9542e-09,0.45,0.00519343,
3.9552e-09,0.45,0.00523077,
3.9562e-09,0.45,0.00526775,
3.9572e-09,0.45,0.00530393,
3.9582e-09,0.45,0.00534049,
3.9592e-09,0.45,0.0053775,
3.9602e-09,0.45,0.00541656,
3.9612e-09,0.45,0.00545812,
3.9622e-09,0.45,0.0054933,
3.9632e-09,0.45,0.00553043,
3.9642e-09,0.45,0.00556667,
3.9652e-09,0.45,0.00560466,
3.9662e-09,0.45,0.0056433,
3.9672e-09,0.45,0.0056822,
3.9682e-09,0.45,0.00572009,
3.9692e-09,0.45,0.00575979,
3.9702e-09,0.45,0.00579672,
3.9712e-09,0.45,0.00583405,
3.9722e-09,0.45,0.00587119,
3.9732e-09,0.45,0.00590923,
3.9742e-09,0.45,0.00594521,
3.9752e-09,0.45,0.005984,
3.9762e-09,0.45,0.00601918,
3.9772e-09,0.45,0.00605752,
3.9782e-09,0.45,0.00609084,
3.9792e-09,0.45,0.00613089,
3.9802e-09,0.45,0.00616584,
3.9812e-09,0.45,0.00620679,
3.9822e-09,0.45,0.00624648,
3.9832e-09,0.45,0.00628842,
3.9842e-09,0.45,0.00632766,
3.9852e-09,0.45,0.00637061,
3.9862e-09,0.45,0.00640971,
3.9872e-09,0.45,0.00645097,
3.9882e-09,0.45,0.00648862,
3.9892e-09,0.45,0.00653023,
3.9902e-09,0.45,0.00656864,
3.9912e-09,0.45,0.00661142,
3.9922e-09,0.45,0.00665104,
3.9932e-09,0.45,0.00669424,
3.9942e-09,0.45,0.00673332,
3.9952e-09,0.45,0.00677715,
3.9962e-09,0.45,0.00681935,
3.9972e-09,0.45,0.0068604,
3.9982e-09,0.45,0.00689809,
3.9992e-09,0.45,0.00694258,
4.0002e-09,0.45,0.00698172,
4.0012e-09,0.45,0.00702691,
4.0022e-09,0.45,0.00706228,
4.0032e-09,0.45,0.00710329,
4.0042e-09,0.45,0.00713422,
4.0052e-09,0.45,0.00717264,
4.0062e-09,0.45,0.00720485,
4.0072e-09,0.45,0.00724283,
4.0082e-09,0.45,0.00727505,
4.0092e-09,0.45,0.00731126,
4.0102e-09,0.45,0.0073452,
4.0112e-09,0.45,0.00738436,
4.0122e-09,0.45,0.00741895,
4.0132e-09,0.45,0.00745773,
4.0142e-09,0.45,0.00749019,
4.0152e-09,0.45,0.00752781,
4.0162e-09,0.45,0.00755848,
4.0172e-09,0.45,0.0075957,
4.0182e-09,0.45,0.00762653,
4.0192e-09,0.45,0.00766403,
4.0202e-09,0.45,0.00769499,
4.0212e-09,0.45,0.00773235,
4.0222e-09,0.45,0.00776357,
4.0232e-09,0.45,0.0078011,
