8:*******************************************,
Transient Analysis,
Mon Nov 14 19:54:34 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,-3.8794e-07,
3.5012e-09,0.45,-1.42604e-07,
3.5022e-09,0.45,-4.15888e-08,
3.5032e-09,0.45,6.10927e-08,
3.5042e-09,0.45,3.98031e-07,
3.5052e-09,0.45,9.0013e-07,
3.5062e-09,0.45,8.33266e-07,
3.5072e-09,0.45,7.15762e-07,
3.5082e-09,0.45,9.80189e-07,
3.5092e-09,0.45,1.27898e-06,
3.5102e-09,0.45,1.11453e-06,
3.5112e-09,0.45,1.23556e-06,
3.5122e-09,0.45,1.27039e-06,
3.5132e-09,0.45,1.40833e-06,
3.5142e-09,0.45,1.48553e-06,
3.5152e-09,0.45,1.61117e-06,
3.5162e-09,0.45,1.57662e-06,
3.5172e-09,0.45,1.70078e-06,
3.5182e-09,0.45,1.69006e-06,
3.5192e-09,0.45,1.8645e-06,
3.5202e-09,0.45,2.11551e-06,
3.5212e-09,0.45,2.41435e-06,
3.5222e-09,0.45,2.69782e-06,
3.5232e-09,0.45,2.98126e-06,
3.5242e-09,0.45,3.27098e-06,
3.5252e-09,0.45,3.5785e-06,
3.5262e-09,0.45,3.79391e-06,
3.5272e-09,0.45,4.13374e-06,
3.5282e-09,0.45,4.17308e-06,
3.5292e-09,0.45,4.34745e-06,
3.5302e-09,0.45,4.41775e-06,
3.5312e-09,0.45,4.682e-06,
3.5322e-09,0.45,4.87601e-06,
3.5332e-09,0.45,5.10438e-06,
3.5342e-09,0.45,5.23435e-06,
3.5352e-09,0.45,5.44816e-06,
3.5362e-09,0.45,5.66996e-06,
3.5372e-09,0.45,5.9084e-06,
3.5382e-09,0.45,6.03802e-06,
3.5392e-09,0.45,6.30747e-06,
3.5402e-09,0.45,6.48648e-06,
3.5412e-09,0.45,6.78207e-06,
3.5422e-09,0.45,6.97133e-06,
3.5432e-09,0.45,7.24942e-06,
3.5442e-09,0.45,7.39178e-06,
3.5452e-09,0.45,7.61983e-06,
3.5462e-09,0.45,7.78289e-06,
3.5472e-09,0.45,8.1048e-06,
3.5482e-09,0.45,8.2767e-06,
3.5492e-09,0.45,8.44693e-06,
3.5502e-09,0.45,8.64477e-06,
3.5512e-09,0.45,8.92595e-06,
3.5522e-09,0.45,9.0826e-06,
3.5532e-09,0.45,9.28112e-06,
3.5542e-09,0.45,9.38122e-06,
3.5552e-09,0.45,9.62472e-06,
3.5562e-09,0.45,9.93127e-06,
3.5572e-09,0.45,1.01726e-05,
3.5582e-09,0.45,1.03061e-05,
3.5592e-09,0.45,1.06659e-05,
3.5602e-09,0.45,1.09397e-05,
3.5612e-09,0.45,1.08741e-05,
3.5622e-09,0.45,1.10659e-05,
3.5632e-09,0.45,1.12371e-05,
3.5642e-09,0.45,1.11261e-05,
3.5652e-09,0.45,1.1081e-05,
3.5662e-09,0.45,1.14941e-05,
3.5672e-09,0.45,1.12697e-05,
3.5682e-09,0.45,1.10659e-05,
3.5692e-09,0.45,1.09718e-05,
3.5702e-09,0.45,1.10179e-05,
3.5712e-09,0.45,1.12488e-05,
3.5722e-09,0.45,1.14181e-05,
3.5732e-09,0.45,1.11216e-05,
3.5742e-09,0.45,1.0825e-05,
3.5752e-09,0.45,1.05899e-05,
3.5762e-09,0.45,1.00662e-05,
3.5772e-09,0.45,1.00057e-05,
3.5782e-09,0.45,9.59167e-06,
3.5792e-09,0.45,9.20494e-06,
