20:*******************************************,
Transient Analysis,
Mon Nov 14 20:11:02 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(rw) [V],v(out) [V],
3.5002e-09,0.45,0.00148857,
3.5012e-09,0.45,0.00149801,
3.5022e-09,0.45,0.00150664,
3.5032e-09,0.45,0.00151491,
3.5042e-09,0.45,0.00152379,
3.5052e-09,0.45,0.00153179,
3.5062e-09,0.45,0.00154062,
3.5072e-09,0.45,0.0015487,
3.5082e-09,0.45,0.00155383,
3.5092e-09,0.45,0.00156223,
3.5102e-09,0.45,0.00157075,
3.5112e-09,0.45,0.00158101,
3.5122e-09,0.45,0.00158977,
3.5132e-09,0.45,0.00159963,
3.5142e-09,0.45,0.00160885,
3.5152e-09,0.45,0.0016177,
3.5162e-09,0.45,0.00162793,
3.5172e-09,0.45,0.00163666,
3.5182e-09,0.45,0.00164591,
3.5192e-09,0.45,0.00165471,
3.5202e-09,0.45,0.00166368,
3.5212e-09,0.45,0.00167305,
3.5222e-09,0.45,0.0016823,
3.5232e-09,0.45,0.00169165,
3.5242e-09,0.45,0.00170074,
3.5252e-09,0.45,0.00171012,
3.5262e-09,0.45,0.0017193,
3.5272e-09,0.45,0.00172808,
3.5282e-09,0.45,0.00173625,
3.5292e-09,0.45,0.00174494,
3.5302e-09,0.45,0.00175479,
3.5312e-09,0.45,0.0017638,
3.5322e-09,0.45,0.00177408,
3.5332e-09,0.45,0.00178261,
3.5342e-09,0.45,0.00179094,
3.5352e-09,0.45,0.0018012,
3.5362e-09,0.45,0.00180998,
3.5372e-09,0.45,0.00182058,
3.5382e-09,0.45,0.00183102,
3.5392e-09,0.45,0.00184018,
3.5402e-09,0.45,0.00184942,
3.5412e-09,0.45,0.0018588,
3.5422e-09,0.45,0.00186681,
3.5432e-09,0.45,0.00187627,
3.5442e-09,0.45,0.00188531,
3.5452e-09,0.45,0.00189387,
3.5462e-09,0.45,0.00190312,
3.5472e-09,0.45,0.00191172,
3.5482e-09,0.45,0.00192095,
3.5492e-09,0.45,0.00192958,
3.5502e-09,0.45,0.00193881,
3.5512e-09,0.45,0.00194747,
3.5522e-09,0.45,0.00195658,
3.5532e-09,0.45,0.00196525,
3.5542e-09,0.45,0.00197416,
3.5552e-09,0.45,0.00198295,
3.5562e-09,0.45,0.00199178,
3.5572e-09,0.45,0.00200068,
3.5582e-09,0.45,0.00200871,
3.5592e-09,0.45,0.00201853,
3.5602e-09,0.45,0.00202718,
3.5612e-09,0.45,0.00203713,
3.5622e-09,0.45,0.00204751,
3.5632e-09,0.45,0.00205762,
3.5642e-09,0.45,0.00206659,
3.5652e-09,0.45,0.00207429,
3.5662e-09,0.45,0.00208629,
3.5672e-09,0.45,0.00209656,
3.5682e-09,0.45,0.00211058,
3.5692e-09,0.45,0.00212264,
3.5702e-09,0.45,0.00213665,
3.5712e-09,0.45,0.00214729,
3.5722e-09,0.45,0.00215881,
3.5732e-09,0.45,0.00217252,
3.5742e-09,0.45,0.00218097,
3.5752e-09,0.45,0.00219093,
3.5762e-09,0.45,0.00219962,
3.5772e-09,0.45,0.00220711,
3.5782e-09,0.45,0.00221579,
3.5792e-09,0.45,0.00222252,
3.5802e-09,0.45,0.00223084,
3.5812e-09,0.45,0.00224,
3.5822e-09,0.45,0.00224983,
3.5832e-09,0.45,0.00226068,
3.5842e-09,0.45,0.00227197,
3.5852e-09,0.45,0.00228279,
3.5862e-09,0.45,0.00229356,
3.5872e-09,0.45,0.00230262,
3.5882e-09,0.45,0.00231369,
3.5892e-09,0.45,0.00232371,
3.5902e-09,0.45,0.00233556,
3.5912e-09,0.45,0.00234694,
3.5922e-09,0.45,0.00235765,
3.5932e-09,0.45,0.00236739,
3.5942e-09,0.45,0.00237683,
3.5952e-09,0.45,0.00238775,
3.5962e-09,0.45,0.00239833,
3.5972e-09,0.45,0.00241085,
3.5982e-09,0.45,0.0024224,
3.5992e-09,0.45,0.00243249,
3.6002e-09,0.45,0.00244354,
3.6012e-09,0.45,0.00245336,
3.6022e-09,0.45,0.00246438,
3.6032e-09,0.45,0.00247461,
3.6042e-09,0.45,0.00248592,
3.6052e-09,0.45,0.00249615,
3.6062e-09,0.45,0.00250729,
3.6072e-09,0.45,0.00251754,
3.6082e-09,0.45,0.00252859,
3.6092e-09,0.45,0.00253889,
3.6102e-09,0.45,0.00254997,
3.6112e-09,0.45,0.00256016,
3.6122e-09,0.45,0.00257153,
3.6132e-09,0.45,0.00258175,
3.6142e-09,0.45,0.00259315,
3.6152e-09,0.45,0.00260336,
3.6162e-09,0.45,0.00261484,
3.6172e-09,0.45,0.002625,
3.6182e-09,0.45,0.00263668,
3.6192e-09,0.45,0.00264828,
3.6202e-09,0.45,0.00265954,
3.6212e-09,0.45,0.00267028,
3.6222e-09,0.45,0.00268127,
3.6232e-09,0.45,0.00269235,
3.6242e-09,0.45,0.00270333,
3.6252e-09,0.45,0.00271424,
3.6262e-09,0.45,0.00272525,
3.6272e-09,0.45,0.00273616,
3.6282e-09,0.45,0.00274729,
3.6292e-09,0.45,0.0027581,
3.6302e-09,0.45,0.00276965,
3.6312e-09,0.45,0.00278024,
3.6322e-09,0.45,0.00279165,
3.6332e-09,0.45,0.0028022,
3.6342e-09,0.45,0.00281398,
3.6352e-09,0.45,0.0028245,
3.6362e-09,0.45,0.00283639,
3.6372e-09,0.45,0.00284691,
3.6382e-09,0.45,0.00285888,
3.6392e-09,0.45,0.00286956,
3.6402e-09,0.45,0.00288176,
3.6412e-09,0.45,0.00289255,
3.6422e-09,0.45,0.00290262,
3.6432e-09,0.45,0.00291502,
3.6442e-09,0.45,0.00292732,
3.6452e-09,0.45,0.00293833,
3.6462e-09,0.45,0.00295173,
3.6472e-09,0.45,0.00296231,
3.6482e-09,0.45,0.0029742,
3.6492e-09,0.45,0.00298373,
3.6502e-09,0.45,0.00299291,
3.6512e-09,0.45,0.00300233,
3.6522e-09,0.45,0.00301259,
3.6532e-09,0.45,0.00302188,
3.6542e-09,0.45,0.00303293,
3.6552e-09,0.45,0.00304833,
3.6562e-09,0.45,0.00305634,
3.6572e-09,0.45,0.00306572,
3.6582e-09,0.45,0.00307397,
3.6592e-09,0.45,0.0030824,
3.6602e-09,0.45,0.00308983,
3.6612e-09,0.45,0.00309766,
3.6622e-09,0.45,0.00310601,
3.6632e-09,0.45,0.00311429,
3.6642e-09,0.45,0.00312338,
3.6652e-09,0.45,0.00313189,
3.6662e-09,0.45,0.00314074,
3.6672e-09,0.45,0.00314933,
3.6682e-09,0.45,0.00315805,
3.6692e-09,0.45,0.00316683,
3.6702e-09,0.45,0.00317533,
3.6712e-09,0.45,0.00318417,
3.6722e-09,0.45,0.0031926,
3.6732e-09,0.45,0.00320161,
3.6742e-09,0.45,0.00320987,
3.6752e-09,0.45,0.00321897,
3.6762e-09,0.45,0.00322658,
3.6772e-09,0.45,0.00323541,
3.6782e-09,0.45,0.00324236,
3.6792e-09,0.45,0.00325284,
3.6802e-09,0.45,0.00325918,
3.6812e-09,0.45,0.00327014,
3.6822e-09,0.45,0.00327662,
3.6832e-09,0.45,0.0032854,
3.6842e-09,0.45,0.00329356,
3.6852e-09,0.45,0.00330145,
3.6862e-09,0.45,0.00331142,
3.6872e-09,0.45,0.00332114,
3.6882e-09,0.45,0.00333234,
3.6892e-09,0.45,0.00334281,
3.6902e-09,0.45,0.00335196,
3.6912e-09,0.45,0.00336135,
3.6922e-09,0.45,0.00337223,
3.6932e-09,0.45,0.00338193,
3.6942e-09,0.45,0.0033954,
3.6952e-09,0.45,0.00340499,
3.6962e-09,0.45,0.00341709,
3.6972e-09,0.45,0.00342667,
3.6982e-09,0.45,0.00343729,
3.6992e-09,0.45,0.00344675,
3.7002e-09,0.45,0.00345729,
3.7012e-09,0.45,0.00346676,
3.7022e-09,0.45,0.003478,
3.7032e-09,0.45,0.00348773,
3.7042e-09,0.45,0.00349946,
3.7052e-09,0.45,0.00350921,
3.7062e-09,0.45,0.00352053,
3.7072e-09,0.45,0.00353032,
3.7082e-09,0.45,0.00354109,
3.7092e-09,0.45,0.00355179,
3.7102e-09,0.45,0.00356338,
3.7112e-09,0.45,0.00357351,
3.7122e-09,0.45,0.00358512,
3.7132e-09,0.45,0.00359552,
3.7142e-09,0.45,0.00360659,
3.7152e-09,0.45,0.00361812,
3.7162e-09,0.45,0.00362866,
3.7172e-09,0.45,0.00364004,
3.7182e-09,0.45,0.00365038,
3.7192e-09,0.45,0.00366165,
3.7202e-09,0.45,0.00367186,
3.7212e-09,0.45,0.00368318,
3.7222e-09,0.45,0.00369223,
3.7232e-09,0.45,0.00370409,
3.7242e-09,0.45,0.00371324,
3.7252e-09,0.45,0.00372483,
3.7262e-09,0.45,0.00373349,
3.7272e-09,0.45,0.00374504,
3.7282e-09,0.45,0.00375463,
3.7292e-09,0.45,0.00376591,
3.7302e-09,0.45,0.00377466,
3.7312e-09,0.45,0.00378612,
3.7322e-09,0.45,0.00379438,
3.7332e-09,0.45,0.00380673,
3.7342e-09,0.45,0.00381613,
3.7352e-09,0.45,0.00382718,
3.7362e-09,0.45,0.00383661,
3.7372e-09,0.45,0.00384655,
3.7382e-09,0.45,0.00385713,
3.7392e-09,0.45,0.00386637,
3.7402e-09,0.45,0.00387592,
3.7412e-09,0.45,0.00388459,
3.7422e-09,0.45,0.00389378,
3.7432e-09,0.45,0.00390243,
3.7442e-09,0.45,0.00391048,
3.7452e-09,0.45,0.00391846,
3.7462e-09,0.45,0.00392624,
3.7472e-09,0.45,0.00393404,
3.7482e-09,0.45,0.00394216,
3.7492e-09,0.45,0.0039498,
3.7502e-09,0.45,0.00395785,
3.7512e-09,0.45,0.00396507,
3.7522e-09,0.45,0.00397298,
3.7532e-09,0.45,0.00398116,
3.7542e-09,0.45,0.00398808,
3.7552e-09,0.45,0.00399491,
3.7562e-09,0.45,0.00400188,
3.7572e-09,0.45,0.00400846,
3.7582e-09,0.45,0.00401524,
3.7592e-09,0.45,0.00402196,
3.7602e-09,0.45,0.0040293,
3.7612e-09,0.45,0.00403612,
3.7622e-09,0.45,0.00404332,
3.7632e-09,0.45,0.00405009,
3.7642e-09,0.45,0.0040572,
3.7652e-09,0.45,0.0040644,
3.7662e-09,0.45,0.00407111,
3.7672e-09,0.45,0.0040783,
3.7682e-09,0.45,0.00408476,
3.7692e-09,0.45,0.00409161,
3.7702e-09,0.45,0.00409805,
3.7712e-09,0.45,0.00410495,
3.7722e-09,0.45,0.00411135,
3.7732e-09,0.45,0.00411825,
3.7742e-09,0.45,0.00412455,
3.7752e-09,0.45,0.00413146,
3.7762e-09,0.45,0.0041378,
3.7772e-09,0.45,0.00414475,
3.7782e-09,0.45,0.00415107,
3.7792e-09,0.45,0.00415806,
3.7802e-09,0.45,0.00416434,
3.7812e-09,0.45,0.00417133,
3.7822e-09,0.45,0.00417756,
3.7832e-09,0.45,0.00418531,
3.7842e-09,0.45,0.00419122,
3.7852e-09,0.45,0.00419971,
3.7862e-09,0.45,0.00420493,
3.7872e-09,0.45,0.00421292,
3.7882e-09,0.45,0.00421658,
3.7892e-09,0.45,0.00422206,
3.7902e-09,0.45,0.00422564,
3.7912e-09,0.45,0.00423217,
3.7922e-09,0.45,0.00423829,
3.7932e-09,0.45,0.00424293,
3.7942e-09,0.45,0.00424888,
3.7952e-09,0.45,0.00425346,
3.7962e-09,0.45,0.0042589,
3.7972e-09,0.45,0.0042623,
3.7982e-09,0.45,0.00426497,
3.7992e-09,0.45,0.0042687,
3.8002e-09,0.45,0.00427111,
3.8012e-09,0.45,0.00427789,
3.8022e-09,0.45,0.00428167,
3.8032e-09,0.45,0.00428669,
3.8042e-09,0.45,0.00428903,
3.8052e-09,0.45,0.00429412,
3.8062e-09,0.45,0.00429979,
3.8072e-09,0.45,0.00430638,
3.8082e-09,0.45,0.00431088,
3.8092e-09,0.45,0.00431623,
3.8102e-09,0.45,0.00431875,
3.8112e-09,0.45,0.00432432,
3.8122e-09,0.45,0.00432446,
3.8132e-09,0.45,0.00432679,
3.8142e-09,0.45,0.00432642,
3.8152e-09,0.45,0.00432716,
3.8162e-09,0.45,0.00432681,
3.8172e-09,0.45,0.00432714,
3.8182e-09,0.45,0.00432656,
3.8192e-09,0.45,0.00432746,
3.8202e-09,0.45,0.00432623,
3.8212e-09,0.45,0.00432664,
3.8222e-09,0.45,0.00432556,
3.8232e-09,0.45,0.00432643,
3.8242e-09,0.45,0.00432544,
3.8252e-09,0.45,0.00432585,
3.8262e-09,0.45,0.00432561,
3.8272e-09,0.45,0.00432641,
3.8282e-09,0.45,0.00432651,
3.8292e-09,0.45,0.00432704,
3.8302e-09,0.45,0.00432631,
3.8312e-09,0.45,0.00432467,
3.8322e-09,0.45,0.00432301,
3.8332e-09,0.45,0.00432268,
3.8342e-09,0.45,0.00432212,
3.8352e-09,0.45,0.00432234,
3.8362e-09,0.45,0.00432157,
3.8372e-09,0.45,0.0043211,
3.8382e-09,0.45,0.00431983,
3.8392e-09,0.45,0.0043196,
3.8402e-09,0.45,0.00431881,
3.8412e-09,0.45,0.00431809,
3.8422e-09,0.45,0.00431693,
3.8432e-09,0.45,0.00431621,
3.8442e-09,0.45,0.00431535,
3.8452e-09,0.45,0.00431473,
3.8462e-09,0.45,0.00431379,
3.8472e-09,0.45,0.00431072,
3.8482e-09,0.45,0.00431134,
3.8492e-09,0.45,0.00431018,
3.8502e-09,0.45,0.00431138,
3.8512e-09,0.45,0.00430931,
3.8522e-09,0.45,0.00431016,
3.8532e-09,0.45,0.00430768,
3.8542e-09,0.45,0.00430812,
3.8552e-09,0.45,0.00430577,
3.8562e-09,0.45,0.00430637,
3.8572e-09,0.45,0.00430359,
3.8582e-09,0.45,0.00430097,
3.8592e-09,0.45,0.00430133,
3.8602e-09,0.45,0.0043021,
3.8612e-09,0.45,0.0043005,
3.8622e-09,0.45,0.00429801,
3.8632e-09,0.45,0.00428882,
3.8642e-09,0.45,0.00427534,
3.8652e-09,0.45,0.00427847,
3.8662e-09,0.45,0.00428005,
3.8672e-09,0.45,0.00427254,
3.8682e-09,0.45,0.00426562,
3.8692e-09,0.45,0.00425334,
3.8702e-09,0.45,0.00424296,
3.8712e-09,0.45,0.0042307,
3.8722e-09,0.45,0.00421419,
3.8732e-09,0.45,0.00419932,
3.8742e-09,0.45,0.0041837,
3.8752e-09,0.45,0.00416892,
3.8762e-09,0.45,0.00415223,
3.8772e-09,0.45,0.00413739,
3.8782e-09,0.45,0.00412104,
3.8792e-09,0.45,0.00410623,
3.8802e-09,0.45,0.00409173,
3.8812e-09,0.45,0.00407711,
