54:*******************************************,
Transient Analysis,
Thu Nov 10 11:54:03 2022,
Input file: \\tsclient\C\Users\espen\Repositories\TFE4152\TFE4152-Memory-Array\AIM-Spice\bitcell_nor.cir,
time [sec],v(vdd) [V],i(vdd1) [A],
0,1,-1.14685e-07,
1e-17,1,-2.9054e-07,
2e-17,1,-2.9054e-07,
4e-17,1,-2.9054e-07,
8e-17,1,-2.77365e-07,
1.6e-16,1,-2.59245e-07,
3.2e-16,1,-2.30647e-07,
6.4e-16,1,-1.8751e-07,
1.28e-15,1,-1.31656e-07,
2.56e-15,1,-6.76508e-08,
5.12e-15,1,4.11014e-09,
1.024e-14,1,3.00168e-07,
2.048e-14,1,-9.93786e-09,
4.096e-14,1,-2.45547e-09,
8.192e-14,1,-1.07358e-07,
1.6384e-13,1,-6.79335e-08,
3.2768e-13,1,-1.37113e-07,
6.5536e-13,1,-7.52466e-08,
1.31072e-12,1,-1.48278e-07,
2.62144e-12,1,-7.37055e-08,
5.24288e-12,1,-1.53541e-07,
1.04858e-11,1,-7.40888e-08,
2.09715e-11,1,-1.53142e-07,
4.1943e-11,1,-7.47278e-08,
8.38861e-11,1,-1.53176e-07,
1.67772e-10,1,-7.53341e-08,
2.67772e-10,1,-1.53399e-07,
3.67772e-10,1,-7.54397e-08,
4.67772e-10,1,-1.53399e-07,
5.67772e-10,1,-7.557e-08,
6.67772e-10,1,-1.53238e-07,
7.67772e-10,1,-7.5605e-08,
8.67772e-10,1,-1.53257e-07,
9.67772e-10,1,-7.55739e-08,
1.06777e-09,1,-1.53157e-07,
1.16777e-09,1,-7.56567e-08,
1.26777e-09,1,-1.53207e-07,
1.36777e-09,1,-7.56673e-08,
1.46777e-09,1,-1.53088e-07,
1.56777e-09,1,-7.5662e-08,
1.66777e-09,1,-1.53027e-07,
1.76777e-09,1,-7.57369e-08,
1.86777e-09,1,-1.53065e-07,
1.96777e-09,1,-7.57605e-08,
2.06777e-09,1,-1.52973e-07,
2.16777e-09,1,-7.57011e-08,
2.26777e-09,1,-1.52873e-07,
2.36777e-09,1,-7.57191e-08,
2.46777e-09,1,-1.52777e-07,
2.56777e-09,1,-7.56562e-08,
2.66777e-09,1,-1.52683e-07,
2.76777e-09,1,-7.56785e-08,
2.86777e-09,1,-1.52592e-07,
2.96777e-09,1,-7.56202e-08,
3.06777e-09,1,-1.52482e-07,
3.16777e-09,1,-7.5638e-08,
3.26777e-09,1,-1.52387e-07,
3.36777e-09,1,-7.62594e-08,
3.46777e-09,1,-1.52544e-07,
3.56777e-09,1,-7.61558e-08,
3.66777e-09,1,-1.52554e-07,
3.76777e-09,1,-7.61271e-08,
3.86777e-09,1,-1.52537e-07,
3.96777e-09,1,-7.61584e-08,
4.06777e-09,1,-1.52508e-07,
4.16777e-09,1,-7.62961e-08,
4.26777e-09,1,-1.52445e-07,
4.36777e-09,1,-7.63454e-08,
4.46777e-09,1,-1.52479e-07,
4.56777e-09,1,-7.64065e-08,
4.66777e-09,1,-1.525e-07,
4.76777e-09,1,-7.6498e-08,
4.86777e-09,1,-1.52331e-07,
4.96777e-09,1,-7.64142e-08,
5e-09,1,-1.51849e-07
